campaign_id,phase_id,phase_run_id,acquisition_id,parent_acquisition_id,start_utc,end_utc,operator_id,configuration_id,calibration_bundle_id,sample_id,measurement_kind,condition_set_id,replicate_index,planned,accepted,rejection_code,raw_primary_artifact_id,notes
system_recalibration_001,HF-01,system_recalibration_001_HF-01_001,HF01-TIMING10-001,,2026-08-26T19:45:07.715186Z,2026-08-26T19:45:22.563998Z,Christopher_Robertson,HF01-TIMING-COPY-10HZ-v1,MS02-SPLITTER-AND-PATH-CORRECTIONS,,digital_timing_copy,HF01-COND-TIMING10,1,true,false,HF01-REJECT-DIO-EXPORT,HF01-ART-0049,Exactly ten T660 events and ten Pico segments retained; HF2 DIO field not exported so copy-offset acceptance is unavailable
system_recalibration_001,HF-01,system_recalibration_001_HF-01_001,HF01-TIMING10-R1-001,HF01-TIMING10-001,2026-08-26T19:47:12.600666Z,2026-08-26T19:47:27.388031Z,Christopher_Robertson,HF01-TIMING-COPY-10HZ-v1,MS02-SPLITTER-AND-PATH-CORRECTIONS,,digital_timing_copy,HF01-COND-TIMING10-R1,1,true,false,HF01-REJECT-DIO-PULSE-WIDTH,HF01-ART-0048,Correct DIO path retained but 150 ns pulses are below one 3597.862 Sa/s sample interval and no DIO0 or DIO1 high sample was observed
system_recalibration_001,HF-01,system_recalibration_001_HF-01_001,HF01-TIMING10-R2-001,HF01-TIMING10-R1-001,2026-08-26T19:54:38.161376Z,2026-08-26T19:54:55.179199Z,Christopher_Robertson,HF01-TIMING-COPY-10HZ-v2,MS02-SPLITTER-AND-PATH-CORRECTIONS,,digital_timing_copy,HF01-COND-TIMING10-R2,1,true,false,HF01-REJECT-HF2-POLL-WINDOW,HF01-ART-0057,Ten Pico events and one simultaneous HF2 DIO0/DIO1 edge retained; HF2 poll ended 53.155 ms after the first edge and before the remaining nine events
system_recalibration_001,HF-01,system_recalibration_001_HF-01_001,HF01-TIMING10-R3-001,HF01-TIMING10-R2-001,2026-08-26T20:00:29.424742Z,2026-08-26T20:00:46.868796Z,Christopher_Robertson,HF01-TIMING-COPY-10HZ-v2,MS02-SPLITTER-AND-PATH-CORRECTIONS,,digital_timing_copy,HF01-COND-TIMING10-R3,1,true,false,HF01-REJECT-MASTER-CLOCK-UNLOCKED,HF01-ART-0063,Event counts pass but the HF2LI external master clock was unlocked; superseded by R5 under corrected lock semantics
system_recalibration_001,HF-01,system_recalibration_001_HF-01_001,HF01-AWG-FIRST-ENABLE-001,,2026-08-26T20:05:16.740489Z,2026-08-26T20:05:31.248610Z,Christopher_Robertson,HF01-AWG-FIRST-ENABLE-v1,,,connected_voltage_first_enable,HF01-COND-AWG-FIRST-ENABLE,1,true,false,HF01-REJECT-PICO-BUSY,HF01-ART-0217,SDK rejected generator configuration while block capture was already armed; no nonzero output was applied
system_recalibration_001,HF-01,system_recalibration_001_HF-01_001,HF01-AWG-FIRST-ENABLE-R1-001,HF01-AWG-FIRST-ENABLE-001,2026-08-26T20:06:51.614507Z,2026-08-26T20:07:06.115602Z,Christopher_Robertson,HF01-AWG-FIRST-ENABLE-v1,,,connected_voltage_first_enable,HF01-COND-AWG-FIRST-ENABLE-R1,1,true,true,,HF01-ART-0216,Measured 0.0512478 Vpp and -1.485 mV offset with zero Pico overflow zero HF2 clipping and zero-output cleanup
system_recalibration_001,HF-01,system_recalibration_001_HF-01_001,HF01-TIMING10-R4-001,HF01-TIMING10-R3-001,2026-08-26T21:16:31.253671Z,2026-08-26T21:16:44.846671Z,Christopher_Robertson,HF01-TIMING-COPY-10HZ-v3,MS02-SPLITTER-AND-PATH-CORRECTIONS,,digital_timing_copy,HF01-COND-TIMING10-R4,1,true,false,HF01-REJECT-RAPID-CAPTURE-REGRESSION,HF01-ART-0284,Rejected before event acceptance because the Pico rapid-capture service returned no record; all outputs returned safe
system_recalibration_001,HF-01,system_recalibration_001_HF-01_001,HF01-TIMING10-R5-001,HF01-TIMING10-R4-001,2026-08-26T21:17:21.069512Z,2026-08-26T21:17:38.720570Z,Christopher_Robertson,HF01-TIMING-COPY-10HZ-v3,MS02-SPLITTER-AND-PATH-CORRECTIONS,,digital_timing_copy,HF01-COND-TIMING10-R5,1,true,true,,HF01-ART-0289,Exactly ten DIO0 and ten DIO1 edges ten overflow-free Pico segments locked external master clock and final safe idle
system_recalibration_001,HF-01,system_recalibration_001_HF-01_001,HF01-ANCHOR-FAST-001,,2026-08-26T20:11:15.028335Z,2026-08-26T20:11:38.580713Z,Christopher_Robertson,HF01-ANCHOR-FAST-v1,,,instrument_model_anchor,HF01-COND-ANCHOR-FAST,1,true,false,HF01-REJECT-REFERENCE-PLL-UNLOCKED,HF01-ART-0090,No response record; PLL0 did not lock before the HF2LI power-cycle recovery
system_recalibration_001,HF-01,system_recalibration_001_HF-01_001,HF01-ANCHOR-FAST-R1-001,HF01-ANCHOR-FAST-001,2026-08-26T21:18:13.885495Z,2026-08-26T21:18:46.893797Z,Christopher_Robertson,HF01-ANCHOR-FAST-v1,,,instrument_model_anchor,HF01-COND-ANCHOR-FAST-R1,1,true,false,HF01-REJECT-REFERENCE-DETUNING,HF01-ART-0098,Captured cleanly but rejected because the shared reference was detuned from the Pico carrier by about 13.79 Hz
system_recalibration_001,HF-01,system_recalibration_001_HF-01_001,HF01-ANCHOR-FAST-R2-001,HF01-ANCHOR-FAST-R1-001,2026-08-26T21:27:54.377598Z,2026-08-26T21:28:22.185032Z,Christopher_Robertson,HF01-ANCHOR-FAST-v1,,,instrument_model_anchor,HF01-COND-ANCHOR-FAST-R2,1,true,false,HF01-REJECT-CARRIER-REPLICATE-INCONSISTENT,HF01-ART-0113,First zero-offset carrier scale differs materially from the other two; magnitude and cutoff residuals are not interpretable for model acceptance
system_recalibration_001,HF-01,system_recalibration_001_HF-01_001,HF01-ANCHOR-INTERMEDIATE-001,,2026-08-26T21:18:58.748986Z,2026-08-26T21:19:23.131656Z,Christopher_Robertson,HF01-ANCHOR-INTERMEDIATE-v1,,,instrument_model_anchor,HF01-COND-ANCHOR-INTERMEDIATE,1,true,false,HF01-REJECT-REFERENCE-DETUNING,HF01-ART-0129,Captured cleanly but rejected under the common 13.79 Hz reference-detuning diagnosis
system_recalibration_001,HF-01,system_recalibration_001_HF-01_001,HF01-ANCHOR-INTERMEDIATE-R1-001,HF01-ANCHOR-INTERMEDIATE-001,2026-08-26T21:23:12.815029Z,2026-08-26T21:23:35.562458Z,Christopher_Robertson,HF01-ANCHOR-INTERMEDIATE-v1,,,instrument_model_anchor,HF01-COND-ANCHOR-INTERMEDIATE-R1,1,true,true,,HF01-ART-0145,Magnitude RMS residual 0.000444 cutoff residual -0.000549 and all six step transitions pass; phase metrics remain unavailable at phase level
system_recalibration_001,HF-01,system_recalibration_001_HF-01_001,HF01-ANCHOR-SLOW-001,,2026-08-26T21:19:33.207598Z,2026-08-26T21:21:32.368007Z,Christopher_Robertson,HF01-ANCHOR-SLOW-v1,,,instrument_model_anchor,HF01-COND-ANCHOR-SLOW,1,true,false,HF01-REJECT-REFERENCE-DETUNING,HF01-ART-0160,Captured but rejected under the common 13.79 Hz reference-detuning diagnosis
system_recalibration_001,HF-01,system_recalibration_001_HF-01_001,HF01-ANCHOR-SLOW-R1-001,HF01-ANCHOR-SLOW-001,2026-08-26T21:24:26.329734Z,2026-08-26T21:26:24.093597Z,Christopher_Robertson,HF01-ANCHOR-SLOW-v1,,,instrument_model_anchor,HF01-COND-ANCHOR-SLOW-R1,1,true,false,HF01-REJECT-SLOW-DWELL-AND-REFERENCE-DRIFT,HF01-ART-0175,Reference drift and shortened high-offset dwell prevent retention
system_recalibration_001,HF-01,system_recalibration_001_HF-01_001,HF01-ANCHOR-SLOW-R2-001,HF01-ANCHOR-SLOW-R1-001,2026-08-26T21:28:50.175363Z,2026-08-26T21:30:53.130453Z,Christopher_Robertson,HF01-ANCHOR-SLOW-v1,,,instrument_model_anchor,HF01-COND-ANCHOR-SLOW-R2,1,true,false,HF01-SUPERSEDED-BY-HIGHER-RATE-READBACK,HF01-ART-0190,Preserved low-rate acquisition; superseded by R3 for the prospectively required higher-rate guard-band check
