artifact_id,campaign_id,phase_id,acquisition_id,relative_path,artifact_role,media_type,byte_size,created_utc,modified_utc,producer,source_artifact_ids,immutable,notes
HF01-ART-0001,system_recalibration_001,HF-01,,readbacks/HF-01/acquisition_index.csv,index_or_ledger,text/csv,18335,2026-08-26T18:43:08.230655Z,2026-08-27T00:00:34.634813Z,HF-01 controlled execution,,false,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0002,system_recalibration_001,HF-01,,readbacks/HF-01/action_ledger.csv,index_or_ledger,text/csv,25410,2026-08-26T18:43:08.238492Z,2026-08-27T00:00:34.640437Z,HF-01 controlled execution,,false,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0003,system_recalibration_001,HF-01,,readbacks/HF-01/analysis/.gitkeep,analysis_output,application/octet-stream,1,2026-08-26T18:43:08.242020Z,2026-08-26T18:43:08.242020Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0065,system_recalibration_001,HF-01,,readbacks/HF-01/analysis/hf01_awg_first_enable_partial_disposition.json,analysis_output,application/json,1015,2026-08-26T20:06:47.507860Z,2026-08-26T20:06:47.507860Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0066,system_recalibration_001,HF-01,,readbacks/HF-01/analysis/hf01_awg_first_enable_r1_results.json,analysis_output,application/json,1296,2026-08-26T20:08:52.606127Z,2026-08-26T20:08:52.607161Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0294,system_recalibration_001,HF-01,,readbacks/HF-01/analysis/hf01_candidate_disposition.csv,analysis_output,text/csv,110811488,2026-08-26T22:35:28.682200Z,2026-08-26T22:35:32.002168Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0295,system_recalibration_001,HF-01,,readbacks/HF-01/analysis/hf01_dual_demod_model_residuals.csv,analysis_output,text/csv,2600,2026-08-26T22:26:17.899152Z,2026-08-26T22:37:03.312005Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0296,system_recalibration_001,HF-01,,readbacks/HF-01/analysis/hf01_dual_demod_model_validation_report.md,analysis_output,text/plain,834,2026-08-26T22:26:17.900240Z,2026-08-26T22:37:03.314009Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0297,system_recalibration_001,HF-01,,readbacks/HF-01/analysis/hf01_dual_demod_model_validation_results.json,analysis_output,application/json,77980,2026-08-26T22:26:17.897026Z,2026-08-26T22:37:03.309290Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0067,system_recalibration_001,HF-01,,readbacks/HF-01/analysis/hf01_model_validation_magnitude_residuals.csv,analysis_output,text/csv,2964,2026-08-26T21:44:22.749156Z,2026-08-26T21:45:51.489670Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0068,system_recalibration_001,HF-01,,readbacks/HF-01/analysis/hf01_model_validation_magnitude_residuals_invalid_draft_001.csv,analysis_output,text/csv,2961,2026-08-26T21:37:34.693905Z,2026-08-26T21:37:34.695907Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0069,system_recalibration_001,HF-01,,readbacks/HF-01/analysis/hf01_model_validation_magnitude_residuals_invalid_draft_002.csv,analysis_output,text/csv,2964,2026-08-26T21:37:34.693905Z,2026-08-26T21:42:20.472807Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0298,system_recalibration_001,HF-01,,readbacks/HF-01/analysis/hf01_model_validation_report_v1_superseded.md,analysis_output,text/plain,3892,2026-08-26T21:49:12.783165Z,2026-08-26T21:50:26.944532Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0071,system_recalibration_001,HF-01,,readbacks/HF-01/analysis/hf01_model_validation_results.json,analysis_output,application/json,47629,2026-08-26T21:44:22.749156Z,2026-08-26T21:45:51.488228Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0072,system_recalibration_001,HF-01,,readbacks/HF-01/analysis/hf01_model_validation_results_invalid_draft_001.json,analysis_output,application/json,15865,2026-08-26T21:37:34.691886Z,2026-08-26T21:37:34.693905Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0073,system_recalibration_001,HF-01,,readbacks/HF-01/analysis/hf01_model_validation_results_invalid_draft_002.json,analysis_output,application/json,16669,2026-08-26T21:37:34.691886Z,2026-08-26T21:42:20.471803Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0074,system_recalibration_001,HF-01,,readbacks/HF-01/analysis/hf01_reference_detuning_diagnostic.json,analysis_output,application/json,3056,2026-08-26T21:23:01.822439Z,2026-08-26T21:23:01.822439Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0075,system_recalibration_001,HF-01,,readbacks/HF-01/analysis/hf01_reference_refinement.json,analysis_output,application/json,955,2026-08-26T21:24:14.473765Z,2026-08-26T21:24:14.474281Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0299,system_recalibration_001,HF-01,,readbacks/HF-01/analysis/hf01_selected_confirmation_report.md,analysis_output,text/plain,579,2026-08-26T22:41:28.975156Z,2026-08-26T22:57:31.525520Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0300,system_recalibration_001,HF-01,,readbacks/HF-01/analysis/hf01_selected_confirmation_results.json,analysis_output,application/json,203082,2026-08-26T22:41:28.972537Z,2026-08-26T22:57:31.525520Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0301,system_recalibration_001,HF-01,,readbacks/HF-01/analysis/hf01_selected_confirmation_summary.csv,analysis_output,text/csv,1026,2026-08-26T22:41:28.974297Z,2026-08-26T22:57:31.525520Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0302,system_recalibration_001,HF-01,,readbacks/HF-01/analysis/hf01_supported_configuration_analysis.json,analysis_output,application/json,8047,2026-08-26T22:35:32.006546Z,2026-08-26T22:35:32.006546Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0303,system_recalibration_001,HF-01,,readbacks/HF-01/analysis/hf01_supported_configuration_report.md,analysis_output,text/plain,1952,2026-08-26T22:35:32.007547Z,2026-08-26T22:35:32.007547Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0037,system_recalibration_001,HF-01,,readbacks/HF-01/analysis/hf01_timing10_partial_disposition.json,analysis_output,application/json,1980,2026-08-26T19:46:40.293954Z,2026-08-26T19:46:40.293954Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0038,system_recalibration_001,HF-01,,readbacks/HF-01/analysis/hf01_timing10_r1_partial_disposition.json,analysis_output,application/json,1568,2026-08-26T19:50:10.048824Z,2026-08-26T19:50:10.049327Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0051,system_recalibration_001,HF-01,,readbacks/HF-01/analysis/hf01_timing10_r2_partial_disposition.json,analysis_output,application/json,2297,2026-08-26T19:56:47.764876Z,2026-08-26T19:56:47.764876Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0058,system_recalibration_001,HF-01,,readbacks/HF-01/analysis/hf01_timing10_r3_results.json,analysis_output,application/json,2417,2026-08-26T20:02:17.551616Z,2026-08-26T20:02:17.551616Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0304,system_recalibration_001,HF-01,,readbacks/HF-01/analyze_dual_demod_validation.py,analysis_source,text/plain,47015,2026-08-26T22:09:25.462689Z,2026-08-26T22:40:16.094364Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0076,system_recalibration_001,HF-01,,readbacks/HF-01/analyze_model_validation.py,analysis_source,text/plain,23977,2026-08-26T21:36:42.533983Z,2026-08-26T21:45:40.558130Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0077,system_recalibration_001,HF-01,,readbacks/HF-01/analyze_reference_detuning.py,analysis_source,text/plain,4507,2026-08-26T21:22:54.788639Z,2026-08-26T21:22:54.789767Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0078,system_recalibration_001,HF-01,,readbacks/HF-01/analyze_reference_refinement.py,analysis_source,text/plain,2149,2026-08-26T21:24:09.204458Z,2026-08-26T21:24:09.207459Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0305,system_recalibration_001,HF-01,,readbacks/HF-01/analyze_selected_confirmations.py,analysis_source,text/plain,12328,2026-08-26T22:41:00.510156Z,2026-08-26T22:56:59.436852Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0306,system_recalibration_001,HF-01,,readbacks/HF-01/analyze_supported_configurations.py,analysis_source,text/plain,20394,2026-08-26T22:35:24.201920Z,2026-08-26T22:35:24.202959Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0033,system_recalibration_001,HF-01,,readbacks/HF-01/apply_pre_timing_wiring_safe_state.py,analysis_source,text/plain,3024,2026-08-26T19:36:42.187035Z,2026-08-26T19:36:42.187551Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0004,system_recalibration_001,HF-01,,readbacks/HF-01/artifacts.csv,index_or_ledger,text/csv,160668,2026-08-26T18:43:08.235915Z,2026-08-27T00:00:38.669424Z,HF-01 controlled execution,,false,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0307,system_recalibration_001,HF-01,,readbacks/HF-01/audit_closeout.py,analysis_source,text/plain,7003,2026-08-26T23:59:19.938363Z,2026-08-26T23:59:19.945456Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0308,system_recalibration_001,HF-01,,readbacks/HF-01/build_closeout_indexes.py,analysis_source,text/plain,41186,2026-08-26T23:56:20.660252Z,2026-08-27T00:00:29.928025Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0005,system_recalibration_001,HF-01,,readbacks/HF-01/calibration_links.csv,index_or_ledger,text/csv,3053,2026-08-26T18:43:08.237463Z,2026-08-27T00:00:34.640437Z,HF-01 controlled execution,,false,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0006,system_recalibration_001,HF-01,,readbacks/HF-01/command_log.txt,phase_document,text/plain,1817080,2026-08-26T18:43:08.240017Z,2026-08-26T23:49:41.782430Z,HF-01 controlled execution,,false,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0034,system_recalibration_001,HF-01,,readbacks/HF-01/component_register.csv,index_or_ledger,text/csv,1053,2026-08-26T19:36:42.186520Z,2026-08-26T23:57:37.921136Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0007,system_recalibration_001,HF-01,,readbacks/HF-01/conditions.csv,index_or_ledger,text/csv,29002,2026-08-26T18:43:08.234307Z,2026-08-27T00:00:34.637890Z,HF-01 controlled execution,,false,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0309,system_recalibration_001,HF-01,,readbacks/HF-01/deviations.md,phase_document,text/plain,1355,2026-08-26T23:58:44.100733Z,2026-08-26T23:58:44.100733Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0079,system_recalibration_001,HF-01,,readbacks/HF-01/diagnose_hf2_master_clock.py,analysis_source,text/plain,6882,2026-08-26T20:19:26.259855Z,2026-08-26T20:19:26.261358Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0080,system_recalibration_001,HF-01,,readbacks/HF-01/diagnose_pll_analog_reference.py,analysis_source,text/plain,9364,2026-08-26T20:26:16.824326Z,2026-08-26T20:26:16.824326Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0081,system_recalibration_001,HF-01,,readbacks/HF-01/diagnose_pll_matrix.py,analysis_source,text/plain,8261,2026-08-26T20:34:41.339645Z,2026-08-26T20:36:40.991410Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0082,system_recalibration_001,HF-01,,readbacks/HF-01/diagnose_pll_reference.py,analysis_source,text/plain,6683,2026-08-26T20:12:43.135202Z,2026-08-26T21:15:40.222444Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
