campaign_id,phase_id,acquisition_id,condition_set_id,condition_name,value_text,value_number,unit,source,uncertainty_value,uncertainty_unit,uncertainty_type,notes
system_recalibration_001,HF-01,HF01-TIMING10-001,HF01-COND-TIMING10,cadence,,10,Hz,T660-2 readback,,,,Digital-only check
system_recalibration_001,HF-01,HF01-TIMING10-001,HF01-COND-TIMING10,event_count,,10,count,T660-2 elapsed-shot readback,,,,Counter before zero after ten
system_recalibration_001,HF-01,HF01-TIMING10-001,HF01-COND-TIMING10,awg_state,PROGRAMMED_ZERO_OUTPUT,,,PicoSDK accepted settings,,,,Zero before and after
system_recalibration_001,HF-01,HF01-TIMING10-001,HF01-COND-TIMING10,hf2_external_clock,enabled,,boolean,HF2 node readback,,,,system/extclk read back one and dcm lock flag one
system_recalibration_001,HF-01,HF01-TIMING10-R1-001,HF01-COND-TIMING10-R1,cadence,,10,Hz,T660-2 readback,,,,Digital-only check
system_recalibration_001,HF-01,HF01-TIMING10-R1-001,HF01-COND-TIMING10-R1,event_count,,10,count,T660-2 elapsed-shot readback,,,,Counter before zero after ten
system_recalibration_001,HF-01,HF01-TIMING10-R1-001,HF01-COND-TIMING10-R1,pulse_width,,150,ns,T660-2 readback,,,,Below one HF2 DIO sample interval
system_recalibration_001,HF-01,HF01-TIMING10-R1-001,HF01-COND-TIMING10-R1,hf2_dio_sample_rate,,3597.8618421052633,Sa/s,HF2 node readback,,,,Requested 5000 Sa/s quantized by device
system_recalibration_001,HF-01,HF01-TIMING10-R1-001,HF01-COND-TIMING10-R1,awg_state,PROGRAMMED_ZERO_OUTPUT,,,PicoSDK accepted settings,,,,Zero before and after
system_recalibration_001,HF-01,HF01-TIMING10-R2-001,HF01-COND-TIMING10-R2,cadence,,10,Hz,T660-2 readback,,,,Digital-only check
system_recalibration_001,HF-01,HF01-TIMING10-R2-001,HF01-COND-TIMING10-R2,event_count,,10,count,T660-2 elapsed-shot readback,,,,Counter before zero after ten
system_recalibration_001,HF-01,HF01-TIMING10-R2-001,HF01-COND-TIMING10-R2,pulse_width,,1,ms,T660-2 readback,,,,Prospectively declared R2 width
system_recalibration_001,HF-01,HF01-TIMING10-R2-001,HF01-COND-TIMING10-R2,hf2_dio_sample_rate,,460526.3157894737,Sa/s,HF2 node readback,,,,Requested 460000 Sa/s and retained device-quantized rate
system_recalibration_001,HF-01,HF01-TIMING10-R2-001,HF01-COND-TIMING10-R2,awg_state,PROGRAMMED_ZERO_OUTPUT,,,PicoSDK accepted settings,,,,Zero before and after
system_recalibration_001,HF-01,HF01-TIMING10-R3-001,HF01-COND-TIMING10-R3,cadence,,10,Hz,T660-2 readback,,,,Digital-only check
system_recalibration_001,HF-01,HF01-TIMING10-R3-001,HF01-COND-TIMING10-R3,event_count,,10,count,T660-2 elapsed-shot readback,,,,Counter before zero after ten
system_recalibration_001,HF-01,HF01-TIMING10-R3-001,HF01-COND-TIMING10-R3,pulse_width,,1,ms,T660-2 readback,,,,Authorized R3 width
system_recalibration_001,HF-01,HF01-TIMING10-R3-001,HF01-COND-TIMING10-R3,hf2_dio_sample_rate,,460526.3157894737,Sa/s,HF2 node readback,,,,Requested 460000 Sa/s and retained device-quantized rate
system_recalibration_001,HF-01,HF01-TIMING10-R3-001,HF01-COND-TIMING10-R3,awg_state,PROGRAMMED_ZERO_OUTPUT,,,PicoSDK accepted settings,,,,Zero before and after
system_recalibration_001,HF-01,HF01-TIMING10-R3-001,HF01-COND-TIMING10-R3,hf2_external_clock,enabled,,boolean,HF2 node readback,,,,system/extclk one and dcm lock flag one
system_recalibration_001,HF-01,HF01-AWG-FIRST-ENABLE-R1-001,HF01-COND-AWG-FIRST-ENABLE-R1,waveform,SINE,,,PicoSDK accepted settings,,,,Continuous output during bounded capture
system_recalibration_001,HF-01,HF01-AWG-FIRST-ENABLE-R1-001,HF01-COND-AWG-FIRST-ENABLE-R1,frequency,,2000000,Hz,PicoSDK accepted settings,,,,Carrier-only electrical stimulus
system_recalibration_001,HF-01,HF01-AWG-FIRST-ENABLE-R1-001,HF01-COND-AWG-FIRST-ENABLE-R1,programmed_amplitude,,0.05,Vpp,PicoSDK accepted settings,,,,Programmed value is not measurement authority
system_recalibration_001,HF-01,HF01-AWG-FIRST-ENABLE-R1-001,HF01-COND-AWG-FIRST-ENABLE-R1,programmed_offset,,0,V,PicoSDK accepted settings,,,,
