campaign_id,phase_id,phase_run_id,acquisition_id,parent_acquisition_id,start_utc,end_utc,operator_id,configuration_id,calibration_bundle_id,sample_id,measurement_kind,condition_set_id,replicate_index,planned,accepted,rejection_code,raw_primary_artifact_id,notes
system_recalibration_001,MC-01,system_recalibration_001_MC-01_001,MC01-CONTROL-001,,2026-08-17T20:10:06.2023644Z,2026-08-17T20:11:03.0405401Z,Christopher_Robertson,MC01-CHCFG-POINT-EXTSTEP-v1,CAL-system_recalibration_001-WORKING-EVIDENCE,NO-SAMPLE-MC01,inhibited_control,MC01-COND-INHIBITED,0,true,true,,MC01-CTRL-GUI-001,Expected GUI refusal with interlock off; no scan pulse or emission
system_recalibration_001,MC-01,system_recalibration_001_MC-01_001,MC01-REPEAT-001,,2026-08-17T20:11:03.0405401Z,2026-08-17T20:11:03.0405401Z,Christopher_Robertson,MC01-CHCFG-POINT-EXTSTEP-v1,CAL-system_recalibration_001-WORKING-EVIDENCE,NO-SAMPLE-MC01,active_repeat,MC01-COND-REPEAT,1,true,false,MC01-BLOCK-EMISSION,,Not attempted because GUI requires arming and manufacturer Step and Measure behavior requires firing
system_recalibration_001,MC-01,system_recalibration_001_MC-01_001,MC01-REPEAT-002,,2026-08-17T20:11:03.0405401Z,2026-08-17T20:11:03.0405401Z,Christopher_Robertson,MC01-CHCFG-POINT-EXTSTEP-v1,CAL-system_recalibration_001-WORKING-EVIDENCE,NO-SAMPLE-MC01,active_repeat,MC01-COND-REPEAT,2,true,false,MC01-BLOCK-EMISSION,,Not attempted because GUI requires arming and manufacturer Step and Measure behavior requires firing
system_recalibration_001,MC-01,system_recalibration_001_MC-01_001,MC01-REPEAT-003,,2026-08-17T20:11:03.0405401Z,2026-08-17T20:11:03.0405401Z,Christopher_Robertson,MC01-CHCFG-POINT-EXTSTEP-v1,CAL-system_recalibration_001-WORKING-EVIDENCE,NO-SAMPLE-MC01,active_repeat,MC01-COND-REPEAT,3,true,false,MC01-BLOCK-EMISSION,,Not attempted because GUI requires arming and manufacturer Step and Measure behavior requires firing
system_recalibration_001,MC-01,system_recalibration_001_MC-01_001,MC01-ACTIVE-REPEAT-001,,2026-08-17T22:01:54.087313Z,2026-08-17T22:01:58.084184Z,Codex_orchestration,MC01-CHCFG-POINT-EXTSTEP-v1,CAL-system_recalibration_001-WORKING-EVIDENCE,NO-SAMPLE-MC01,process_command_attempt,MC01-COND-REPEAT,1,true,false,MC01-REJECT-ENGINE-STOPPED,MC01-ACTIVE-REPEAT-001,Command sent with timing engine stopped; counter remained zero and GUI did not transition
system_recalibration_001,MC-01,system_recalibration_001_MC-01_001,MC01-ACTIVE-REPEAT-001-RETRY1,MC01-ACTIVE-REPEAT-001,2026-08-17T22:03:35.656944Z,2026-08-17T22:03:39.745435Z,Christopher_Robertson;Codex_orchestration,MC01-CHCFG-POINT-EXTSTEP-v1,CAL-system_recalibration_001-WORKING-EVIDENCE,NO-SAMPLE-MC01,active_repeat,MC01-COND-REPEAT,1,true,true,,MC01-ACTIVE-REPEAT-001-RETRY1,One started-engine command; counter 0 to 1; exactly one GUI transition; explicit Stop Scan
system_recalibration_001,MC-01,system_recalibration_001_MC-01_001,MC01-ACTIVE-REPEAT-002,,2026-08-17T22:17:14.766637Z,2026-08-17T22:17:25.601034Z,Christopher_Robertson;Codex_orchestration,MC01-CHCFG-POINT-EXTSTEP-v1,CAL-system_recalibration_001-WORKING-EVIDENCE,NO-SAMPLE-MC01,active_repeat,MC01-COND-REPEAT,2,true,true,,MC01-ACTIVE-REPEAT-002,GUI and T660 behavior accepted; associated HF2 multidimensional export rejected and preserved
system_recalibration_001,MC-01,system_recalibration_001_MC-01_001,MC01-ACTIVE-REPEAT-003,,2026-08-17T22:23:49.120325Z,2026-08-17T22:23:59.754968Z,Christopher_Robertson;Codex_orchestration,MC01-CHCFG-POINT-EXTSTEP-v1,CAL-system_recalibration_001-WORKING-EVIDENCE,NO-SAMPLE-MC01,active_repeat,MC01-COND-REPEAT,3,true,true,,MC01-ACTIVE-REPEAT-003,GUI and T660 behavior accepted; associated HF2 metadata export rejected and preserved
system_recalibration_001,MC-01,system_recalibration_001_MC-01_001,MC01-DIO-DIAGNOSTIC-001,,2026-08-17T22:25:53.454049Z,2026-08-17T22:26:04.112327Z,Codex_orchestration,MC01-CHCFG-POINT-EXTSTEP-v1,CAL-system_recalibration_001-WORKING-EVIDENCE,NO-SAMPLE-MC01,dio_diagnostic,MC01-COND-DIO,0,false,false,MC01-REJECT-GRID-INTERPOLATION,MC01-DIO-DIAGNOSTIC-001,Gridded digital word unsuitable for persistent level semantics; preserved as superseded diagnostic
system_recalibration_001,MC-01,system_recalibration_001_MC-01_001,MC01-DIO-DIAGNOSTIC-002,,2026-08-17T22:28:28.853479Z,2026-08-17T22:28:37.322781Z,Christopher_Robertson;Codex_orchestration,MC01-CHCFG-POINT-EXTSTEP-v1,CAL-system_recalibration_001-WORKING-EVIDENCE,NO-SAMPLE-MC01,dio_diagnostic,MC01-COND-DIO,0,false,true,,MC01-DIO-DIAGNOSTIC-002,Raw subscription retained 14596 samples and GUI-correlated one process transition
system_recalibration_001,MC-01,system_recalibration_001_MC-01_001,MC01-SDK-QUAL-001,,2026-08-17T22:30:43.683517Z,2026-08-17T22:31:00.668075Z,Codex_orchestration,MC01-SDK-QUAL-v1,CAL-system_recalibration_001-WORKING-EVIDENCE,NO-SAMPLE-MC01,sdk_control_qualification,MC01-COND-SDK,0,false,true,,MC01-SDK-QUAL-001,External set/read and Internal restore/read passed; no arm emission tune or scan command
