attempt,accepted_index,status,reason,raw_path,measured_separation_ns,sample_interval_ns,threshold_adc,captured_utc
1,1,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_001.csv,0.16722730151809628,2.0,5000,2026-07-29T22:10:22.869622+00:00
2,2,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_002.csv,0.20977915809362457,2.0,5000,2026-07-29T22:10:23.218382+00:00
3,3,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_003.csv,0.21010486915952242,2.0,5000,2026-07-29T22:10:23.383698+00:00
4,4,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_004.csv,0.06371336941720074,2.0,5000,2026-07-29T22:10:23.543382+00:00
5,5,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_005.csv,0.07303552335065433,2.0,5000,2026-07-29T22:10:23.706987+00:00
6,6,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_006.csv,0.05430855843133031,2.0,5000,2026-07-29T22:10:23.881689+00:00
7,7,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_007.csv,0.013491941831716758,2.0,5000,2026-07-29T22:10:24.043965+00:00
8,8,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_008.csv,0.16722730151809628,2.0,5000,2026-07-29T22:10:24.204288+00:00
9,9,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_009.csv,0.14050359128509626,2.0,5000,2026-07-29T22:10:24.365699+00:00
10,10,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_010.csv,0.070960965575523,2.0,5000,2026-07-29T22:10:24.528285+00:00
11,11,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_011.csv,0.04216006309638942,2.0,5000,2026-07-29T22:10:24.691064+00:00
12,12,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_012.csv,0.23699161269814795,2.0,5000,2026-07-29T22:10:24.851760+00:00
13,13,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_013.csv,0.0866093271868067,2.0,5000,2026-07-29T22:10:25.014226+00:00
14,14,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_014.csv,0.04570896152813475,2.0,5000,2026-07-29T22:10:25.178902+00:00
15,15,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_015.csv,0.18093504975036012,2.0,5000,2026-07-29T22:10:25.349809+00:00
16,16,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_016.csv,0.08353554840232391,2.0,5000,2026-07-29T22:10:25.516098+00:00
17,17,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_017.csv,0.013491941831716758,2.0,5000,2026-07-29T22:10:25.681851+00:00
18,18,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_018.csv,0.12786396734759364,2.0,5000,2026-07-29T22:10:25.850122+00:00
19,19,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_019.csv,0.22125459767971734,2.0,5000,2026-07-29T22:10:26.024496+00:00
