attempt,accepted_index,status,reason,raw_path,measured_separation_ns,sample_interval_ns,threshold_adc,captured_utc
1,1,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-02\reconnection_swapped\raw\attempt_001.csv,0.2294266504791267,2.0,5000,2026-07-29T23:48:34.861758+00:00
2,2,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-02\reconnection_swapped\raw\attempt_002.csv,0.06740001308958199,2.0,5000,2026-07-29T23:48:35.219507+00:00
3,3,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-02\reconnection_swapped\raw\attempt_003.csv,0.13291781977954997,2.0,5000,2026-07-29T23:48:35.389617+00:00
4,4,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-02\reconnection_swapped\raw\attempt_004.csv,0.08985414782068801,2.0,5000,2026-07-29T23:48:35.557858+00:00
5,5,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-02\reconnection_swapped\raw\attempt_005.csv,0.06740001308958199,2.0,5000,2026-07-29T23:48:35.726801+00:00
6,6,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-02\reconnection_swapped\raw\attempt_006.csv,0.012786595035549908,2.0,5000,2026-07-29T23:48:35.893672+00:00
7,7,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-02\reconnection_swapped\raw\attempt_007.csv,0.11838935806486006,2.0,5000,2026-07-29T23:48:36.082906+00:00
8,8,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-02\reconnection_swapped\raw\attempt_008.csv,0.13344393050033432,2.0,5000,2026-07-29T23:48:36.266512+00:00
9,9,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-02\reconnection_swapped\raw\attempt_009.csv,-0.01407322862064575,2.0,5000,2026-07-29T23:48:36.446315+00:00
10,10,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-02\reconnection_swapped\raw\attempt_010.csv,0.08353554840232391,2.0,5000,2026-07-29T23:48:36.627752+00:00
11,11,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-02\reconnection_swapped\raw\attempt_011.csv,0.12786396734759364,2.0,5000,2026-07-29T23:48:36.813607+00:00
