artifact_id,campaign_id,phase_id,acquisition_id,relative_path,artifact_role,media_type,byte_size,created_utc,modified_utc,producer,source_artifact_ids,immutable,notes
OM01-RAW-USB-0001,system_recalibration_001,OM-01,OM01-USB-DIAG-001,readbacks/OM-01/raw/newport_identity_snapshot_20260818.json,native_raw,application/json,856,2026-08-18T21:04:00.3270739Z,2026-08-18T21:04:00.327586Z,NEWPORT1918-PY3-QUERY-v1,,true,Query-only native identity/configuration snapshot
OM01-ART-0002,system_recalibration_001,OM-01,OM01-USB-DIAG-001,readbacks/OM-01/optical_metrology_configuration_manifest.json,readback,application/json,2880,2026-08-18T21:04:00.3234134Z,2026-08-19T19:05:48.1348483Z,Codex_orchestration,OM01-RAW-USB-0001,false,Final bounded configuration manifest
OM01-ART-0003,system_recalibration_001,OM-01,OM01-USB-DIAG-001,readbacks/OM-01/measurement_resource_register.csv,derived_table,text/csv,2492,2026-08-18T21:04:00.3245380Z,2026-08-19T18:17:04.702114Z,Codex_orchestration,OM01-RAW-USB-0001;OM01-ART-EXT-0003,false,Active resource classification
OM01-ART-0004,system_recalibration_001,OM-01,OM01-USB-DIAG-001,readbacks/OM-01/permitted_range_wavelength_table.csv,derived_table,text/csv,1979,2026-08-18T21:04:00.3260467Z,2026-08-19T18:17:04.700542Z,Codex_orchestration,OM01-RAW-USB-0001,false,Qualified range and wavelength-region rules
OM01-ART-0005,system_recalibration_001,OM-01,OM01-USB-DIAG-001,readbacks/OM-01/acquisition_index.csv,derived_table,text/csv,7618,2026-08-18T21:04:00.3281051Z,2026-08-19T18:23:30.730057Z,Codex_orchestration,OM01-RAW-USB-0001,false,Active acquisition index
OM01-ART-0006,system_recalibration_001,OM-01,OM01-USB-DIAG-001,readbacks/OM-01/conditions.csv,derived_table,text/csv,7077,2026-08-18T21:04:00.3286139Z,2026-08-19T18:23:05.110339Z,Codex_orchestration,OM01-RAW-USB-0001,false,Standing and USB diagnostic conditions
OM01-ART-0007,system_recalibration_001,OM-01,OM01-USB-DIAG-001,readbacks/OM-01/measurements.csv,derived_table,text/csv,6700,2026-08-18T21:04:00.3296407Z,2026-08-19T18:23:05.110339Z,Codex_orchestration,OM01-RAW-USB-0001,false,Completed OM-01 results
OM01-ART-0008,system_recalibration_001,OM-01,OM01-USB-DIAG-001,readbacks/OM-01/exclusions.csv,derived_table,text/csv,805,2026-08-18T21:04:00.3301552Z,2026-08-18T21:04:00.330664Z,Codex_orchestration,CAL-system_characterization_001-CH00,false,Frozen OM-01 exclusions
OM01-ART-0009,system_recalibration_001,OM-01,OM01-USB-DIAG-001,readbacks/OM-01/calibration_links.csv,derived_table,text/csv,1038,2026-08-18T21:04:00.3311791Z,2026-08-19T18:23:30.729053Z,Codex_orchestration,TR01-ART-0002;CH00-ART-014,false,Completed evidence and certificate links
OM01-ART-0010,system_recalibration_001,OM-01,OM01-USB-DIAG-001,readbacks/OM-01/source_provenance_index.csv,derived_table,text/csv,2013,2026-08-18T21:04:00.3316914Z,2026-08-18T21:04:00.332214Z,Codex_orchestration,,false,Active source index
