artifact_id,campaign_id,phase_id,acquisition_id,relative_path,artifact_role,media_type,byte_size,created_utc,modified_utc,producer,source_artifact_ids,immutable,notes
PT01-ART-0001,system_recalibration_001,PT-01,,readbacks/PT-01/__pycache__/run_preflight.cpython-312.pyc,analysis_document,text/plain,5267,2026-08-13T22:30:02.617846+00:00,2026-08-13T22:30:02.617846+00:00,PT-01 phase workflow,,true,No content hash is used as an operational gate
PT01-ART-0002,system_recalibration_001,PT-01,,readbacks/PT-01/acquire_step_8.py,analysis_source,text/plain,811,2026-08-17T16:59:01.557086+00:00,2026-08-17T16:59:05.611449+00:00,PT-01 phase workflow,,true,No content hash is used as an operational gate
PT01-ART-0003,system_recalibration_001,PT-01,,readbacks/PT-01/analyze_pt01.py,analysis_source,text/plain,3508,2026-08-17T17:04:42.455419+00:00,2026-08-17T17:04:42.456423+00:00,PT-01 phase workflow,,true,No content hash is used as an operational gate
PT01-ART-0004,system_recalibration_001,PT-01,,readbacks/PT-01/build_closeout_indexes.py,analysis_source,text/plain,7836,2026-08-17T17:19:10.599355+00:00,2026-08-17T17:19:10.600421+00:00,PT-01 phase workflow,,true,No content hash is used as an operational gate
PT01-ART-0005,system_recalibration_001,PT-01,,readbacks/PT-01/calibration_links.csv,derived_table,text/csv,791,2026-08-17T17:18:10.448750+00:00,2026-08-17T17:18:10.448750+00:00,PT-01 phase workflow,,true,No content hash is used as an operational gate
PT01-ART-0006,system_recalibration_001,PT-01,,readbacks/PT-01/command_log.txt,log,text/plain,371,2026-08-17T17:18:10.451754+00:00,2026-08-17T17:18:10.451754+00:00,PT-01 phase workflow,,true,No content hash is used as an operational gate
PT01-ART-0007,system_recalibration_001,PT-01,,readbacks/PT-01/deviations.md,analysis_document,text/plain,590,2026-08-17T17:18:10.446702+00:00,2026-08-17T17:18:10.448206+00:00,PT-01 phase workflow,,true,No content hash is used as an operational gate
PT01-ART-0008,system_recalibration_001,PT-01,,readbacks/PT-01/exclusions.csv,derived_table,text/csv,950,2026-08-17T17:18:10.449754+00:00,2026-08-17T17:18:10.449754+00:00,PT-01 phase workflow,,true,No content hash is used as an operational gate
PT01-ART-0009,system_recalibration_001,PT-01,,readbacks/PT-01/final_report.md,report,text/plain,2165,2026-08-17T17:18:10.452757+00:00,2026-08-17T17:18:10.452757+00:00,PT-01 phase workflow,,true,No content hash is used as an operational gate
PT01-ART-0010,system_recalibration_001,PT-01,,readbacks/PT-01/final_restoration_command_log.txt,log,text/plain,13397,2026-08-17T17:16:57.670037+00:00,2026-08-17T17:17:03.419507+00:00,PT-01 phase workflow,,true,No content hash is used as an operational gate
PT01-ART-0011,system_recalibration_001,PT-01,,readbacks/PT-01/final_restoration_safe_idle_readback.json,readback,application/json,10858,2026-08-17T17:17:03.669575+00:00,2026-08-17T17:17:03.670575+00:00,PT-01 phase workflow,,true,No content hash is used as an operational gate
PT01-ART-0012,system_recalibration_001,PT-01,,readbacks/PT-01/final_restoration_status.json,readback,application/json,394,2026-08-17T17:16:57.663031+00:00,2026-08-17T17:17:03.671575+00:00,PT-01 phase workflow,,true,No content hash is used as an operational gate
PT01-ART-0013,system_recalibration_001,PT-01,,readbacks/PT-01/initial_preflight_command_log.txt,log,text/plain,13398,2026-08-13T22:29:40.026943+00:00,2026-08-13T22:29:45.734322+00:00,PT-01 phase workflow,,true,No content hash is used as an operational gate
PT01-ART-0014,system_recalibration_001,PT-01,,readbacks/PT-01/initial_preflight_safe_idle_readback.json,readback,application/json,10859,2026-08-13T22:29:45.975385+00:00,2026-08-13T22:29:45.975385+00:00,PT-01 phase workflow,,true,No content hash is used as an operational gate
PT01-ART-0015,system_recalibration_001,PT-01,,readbacks/PT-01/initial_preflight_status.json,readback,application/json,546,2026-08-13T22:29:38.748742+00:00,2026-08-13T22:29:45.977445+00:00,PT-01 phase workflow,,true,No content hash is used as an operational gate
PT01-ART-0016,system_recalibration_001,PT-01,,readbacks/PT-01/phase_manifest.json,readback,application/json,2350,2026-08-17T17:18:10.444702+00:00,2026-08-17T17:21:47.725033+00:00,PT-01 phase workflow,,true,No content hash is used as an operational gate
PT01-ART-0017,system_recalibration_001,PT-01,,readbacks/PT-01/README.md,analysis_document,text/plain,1008,2026-08-13T22:29:35.985627+00:00,2026-08-17T17:19:37.321862+00:00,PT-01 phase workflow,,true,No content hash is used as an operational gate
PT01-ART-0018,system_recalibration_001,PT-01,,readbacks/PT-01/reference_planes.md,analysis_document,text/plain,754,2026-08-17T17:18:10.445702+00:00,2026-08-17T17:18:10.446702+00:00,PT-01 phase workflow,,true,No content hash is used as an operational gate
PT01-ART-0019,system_recalibration_001,PT-01,,readbacks/PT-01/repository_state.txt,log,text/plain,1241,2026-08-17T17:20:15.903597+00:00,2026-08-17T17:20:15.904112+00:00,PT-01 phase workflow,,true,No content hash is used as an operational gate
PT01-ART-0020,system_recalibration_001,PT-01,,readbacks/PT-01/restoration_confirmation.json,readback,application/json,691,2026-08-17T17:18:10.450754+00:00,2026-08-17T17:18:10.450754+00:00,PT-01 phase workflow,,true,No content hash is used as an operational gate
PT01-ART-0021,system_recalibration_001,PT-01,,readbacks/PT-01/run_preflight.py,analysis_source,text/plain,3359,2026-08-13T22:29:35.985627+00:00,2026-08-13T22:29:35.985627+00:00,PT-01 phase workflow,,true,No content hash is used as an operational gate
PT01-ART-0022,system_recalibration_001,PT-01,,readbacks/PT-01/setup_1_fire_to_process_trigger/active_recipe_0ns.json,readback,application/json,10939,2026-08-17T16:59:22.444198+00:00,2026-08-17T16:59:22.445709+00:00,PT-01 phase workflow,,true,No content hash is used as an operational gate
PT01-ART-0023,system_recalibration_001,PT-01,,readbacks/PT-01/setup_1_fire_to_process_trigger/active_recipe_1000000ns.json,readback,application/json,10951,2026-08-17T17:03:15.557698+00:00,2026-08-17T17:03:15.558698+00:00,PT-01 phase workflow,,true,No content hash is used as an operational gate
