attempt,accepted_index,status,reason,raw_path,programmed_delay_ns,measured_separation_ns,residual_ns,reference_edge_time_ns,target_edge_time_ns,sample_interval_ns,timebase,total_samples,pre_trigger_samples,threshold_adc,captured_utc
1,1,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\PT-01\setup_1_fire_to_process_trigger\raw\1000000ns\attempt_001.csv,1000000,999990.593673487,-9.406326513038948,79975.75904490637,1079966.3527183933,80.0,12,139000,1000,5000,2026-08-17T17:03:15.558698+00:00
2,2,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\PT-01\setup_1_fire_to_process_trigger\raw\1000000ns\attempt_002.csv,1000000,1000046.1986738953,46.198673895327374,79986.21185952792,1080032.4105334233,80.0,12,139000,1000,5000,2026-08-17T17:03:15.928638+00:00
3,3,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\PT-01\setup_1_fire_to_process_trigger\raw\1000000ns\attempt_003.csv,1000000,1000044.6103290985,44.61032909853384,79986.21185952792,1080030.8221886265,80.0,12,139000,1000,5000,2026-08-17T17:03:16.325165+00:00
4,4,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\PT-01\setup_1_fire_to_process_trigger\raw\1000000ns\attempt_004.csv,1000000,999985.7588380214,-14.241161978570744,79974.79928528887,1079960.5581233103,80.0,12,139000,1000,5000,2026-08-17T17:03:16.729823+00:00
5,5,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\PT-01\setup_1_fire_to_process_trigger\raw\1000000ns\attempt_005.csv,1000000,999993.6920915192,-6.307908480754122,79975.75904490637,1079969.4511364256,80.0,12,139000,1000,5000,2026-08-17T17:03:17.140889+00:00
6,6,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\PT-01\setup_1_fire_to_process_trigger\raw\1000000ns\attempt_006.csv,1000000,1000045.3473007008,45.347300700843334,79995.67069660334,1080041.0179973042,80.0,12,139000,1000,5000,2026-08-17T17:03:17.529473+00:00
7,7,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\PT-01\setup_1_fire_to_process_trigger\raw\1000000ns\attempt_007.csv,1000000,999987.0934939989,-12.906506001134403,79976.7530224525,1079963.8465164513,80.0,12,139000,1000,5000,2026-08-17T17:03:17.940078+00:00
8,8,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\PT-01\setup_1_fire_to_process_trigger\raw\1000000ns\attempt_008.csv,1000000,999989.5996959409,-10.400304059148766,79976.7530224525,1079966.3527183933,80.0,12,139000,1000,5000,2026-08-17T17:03:18.338017+00:00
9,9,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\PT-01\setup_1_fire_to_process_trigger\raw\1000000ns\attempt_009.csv,1000000,999985.7588380214,-14.241161978570744,79974.79928528887,1079960.5581233103,80.0,12,139000,1000,5000,2026-08-17T17:03:18.731260+00:00
10,10,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\PT-01\setup_1_fire_to_process_trigger\raw\1000000ns\attempt_010.csv,1000000,1000006.5004719833,6.500471983337775,79972.10556121872,1079978.606033202,80.0,12,139000,1000,5000,2026-08-17T17:03:19.135893+00:00
