attempt,accepted_index,status,reason,raw_path,measured_separation_ns,sample_interval_ns,threshold_adc,captured_utc
1,1,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_001.csv,13.094772121980895,2.0,5000,2026-08-13T22:10:25.302966+00:00
2,2,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_002.csv,13.284593570394918,2.0,5000,2026-08-13T22:10:25.642897+00:00
3,3,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_003.csv,12.759484143763075,2.0,5000,2026-08-13T22:10:25.805129+00:00
4,4,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_004.csv,13.004431976686874,2.0,5000,2026-08-13T22:10:25.963481+00:00
5,5,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_005.csv,13.125650680804938,2.0,5000,2026-08-13T22:10:26.128073+00:00
6,6,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_006.csv,12.931900970459765,2.0,5000,2026-08-13T22:10:26.299452+00:00
7,7,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_007.csv,13.190556443234982,2.0,5000,2026-08-13T22:10:26.460806+00:00
8,8,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_008.csv,12.712347679890854,2.0,5000,2026-08-13T22:10:26.619841+00:00
9,9,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_009.csv,12.890852441216339,2.0,5000,2026-08-13T22:10:26.782840+00:00
10,10,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_010.csv,12.724399841846662,2.0,5000,2026-08-13T22:10:26.947838+00:00
11,11,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_011.csv,13.190556443234982,2.0,5000,2026-08-13T22:10:27.121840+00:00
12,12,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_012.csv,12.690988142233437,2.0,5000,2026-08-13T22:10:27.286897+00:00
13,13,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_013.csv,12.770454636739714,2.0,5000,2026-08-13T22:10:27.446552+00:00
14,14,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_014.csv,12.99976477737755,2.0,5000,2026-08-13T22:10:27.603162+00:00
15,15,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_015.csv,13.398268185933603,2.0,5000,2026-08-13T22:10:27.770099+00:00
16,16,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_016.csv,12.763196198447304,2.0,5000,2026-08-13T22:10:27.943548+00:00
17,17,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_017.csv,12.931900970459765,2.0,5000,2026-08-13T22:10:28.103185+00:00
18,18,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_018.csv,12.837403423814976,2.0,5000,2026-08-13T22:10:28.290050+00:00
