attempt,accepted_index,status,reason,raw_path,programmed_delay_ns,measured_separation_ns,residual_ns,reference_edge_time_ns,target_edge_time_ns,sample_interval_ns,timebase,total_samples,pre_trigger_samples,threshold_adc,captured_utc
1,1,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\10000ns\attempt_001.csv,10000,10057.158655565694,57.15865556569406,1998.2987087753927,12055.457364341086,2.0,1,16000,1000,5000,2026-08-08T21:55:31.223199+00:00
2,2,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\10000ns\attempt_002.csv,10000,10057.683800426372,57.68380042637182,1999.2054759467758,12056.889276373147,2.0,1,16000,1000,5000,2026-08-08T21:55:31.329908+00:00
3,3,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\10000ns\attempt_003.csv,10000,10057.683800426372,57.68380042637182,1999.2054759467758,12056.889276373147,2.0,1,16000,1000,5000,2026-08-08T21:55:31.427330+00:00
4,4,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\10000ns\attempt_004.csv,10000,10057.588526581834,57.58852658183423,1998.5709153713299,12056.159441953165,2.0,1,16000,1000,5000,2026-08-08T21:55:31.523192+00:00
5,5,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\10000ns\attempt_005.csv,10000,10057.536086932,57.53608693199931,1998.649959579628,12056.186046511628,2.0,1,16000,1000,5000,2026-08-08T21:55:31.627616+00:00
6,6,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\10000ns\attempt_006.csv,10000,10057.688532216293,57.688532216292515,1998.75690874036,12056.445440956652,2.0,1,16000,1000,5000,2026-08-08T21:55:31.729499+00:00
7,7,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\10000ns\attempt_007.csv,10000,10057.76468212194,57.764682121940496,1999.2517603294805,12057.01644245142,2.0,1,16000,1000,5000,2026-08-08T21:55:31.825086+00:00
8,8,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\10000ns\attempt_008.csv,10000,10057.89410772837,57.89410772837073,1999.1223347230493,12057.01644245142,2.0,1,16000,1000,5000,2026-08-08T21:55:31.921120+00:00
9,9,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\10000ns\attempt_009.csv,10000,10057.637516043667,57.63751604366735,1999.2517603294805,12056.889276373147,2.0,1,16000,1000,5000,2026-08-08T21:55:32.027648+00:00
10,10,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\10000ns\attempt_010.csv,10000,10057.683800426372,57.68380042637182,1999.2054759467758,12056.889276373147,2.0,1,16000,1000,5000,2026-08-08T21:55:32.124022+00:00
