attempt,accepted_index,status,reason,raw_path,programmed_delay_ns,measured_separation_ns,residual_ns,reference_edge_time_ns,target_edge_time_ns,sample_interval_ns,timebase,total_samples,pre_trigger_samples,threshold_adc,captured_utc
1,1,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\0ns\attempt_001.csv,0,-0.03779702123233619,-0.03779702123233619,1999.9393474088292,1999.901550387597,2.0,1,11000,1000,5000,2026-08-08T22:07:22.387109+00:00
2,2,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\0ns\attempt_002.csv,0,0.20799429366388722,0.20799429366388722,1999.4317789291883,1999.6397732228522,2.0,1,11000,1000,5000,2026-08-08T22:07:22.647297+00:00
3,3,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\0ns\attempt_003.csv,0,0.2378139265408663,0.2378139265408663,1999.064627528367,1999.302441454908,2.0,1,11000,1000,5000,2026-08-08T22:07:22.743188+00:00
4,4,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\0ns\attempt_004.csv,0,0.15473820901456747,0.15473820901456747,1998.5757052389176,1998.7304434479322,2.0,1,11000,1000,5000,2026-08-08T22:07:22.840191+00:00
5,5,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\0ns\attempt_005.csv,0,0.2466991027986296,0.2466991027986296,1999.9393474088292,2000.1860465116279,2.0,1,11000,1000,5000,2026-08-08T22:07:22.944058+00:00
6,6,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\0ns\attempt_006.csv,0,0.10797958440798539,0.10797958440798539,1998.908462867012,1999.01644245142,2.0,1,11000,1000,5000,2026-08-08T22:07:23.040938+00:00
7,7,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\0ns\attempt_007.csv,0,0.2466991027986296,0.2466991027986296,1999.9393474088292,2000.1860465116279,2.0,1,11000,1000,5000,2026-08-08T22:07:23.145669+00:00
8,8,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\0ns\attempt_008.csv,0,0.15473820901456747,0.15473820901456747,1998.5757052389176,1998.7304434479322,2.0,1,11000,1000,5000,2026-08-08T22:07:23.240918+00:00
9,9,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\0ns\attempt_009.csv,0,0.20809899016830968,0.20809899016830968,1999.1813471502592,1999.3894461404275,2.0,1,11000,1000,5000,2026-08-08T22:07:23.337065+00:00
10,10,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\0ns\attempt_010.csv,0,-0.0015021890187654208,-0.0015021890187654208,1999.6813471502592,1999.6798449612404,2.0,1,11000,1000,5000,2026-08-08T22:07:23.444034+00:00
