attempt,accepted_index,status,reason,raw_path,programmed_delay_ns,measured_separation_ns,residual_ns,reference_edge_time_ns,target_edge_time_ns,sample_interval_ns,timebase,total_samples,pre_trigger_samples,threshold_adc,captured_utc
1,1,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_001.csv,100000,100000.47962672132,0.4796267213241663,1999.4317789291883,101999.9114056505,2.0,1,61000,1000,5000,2026-08-08T22:34:29.071474+00:00
2,2,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_002.csv,100000,100000.74806603206,0.7480660320579773,1998.9317789291883,101999.67984496124,2.0,1,61000,1000,5000,2026-08-08T22:34:29.264428+00:00
3,3,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_003.csv,100000,100000.72863358904,0.7286335890385089,1999.7168073676132,102000.44544095665,2.0,1,61000,1000,5000,2026-08-08T22:34:29.437486+00:00
4,4,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_004.csv,100000,100000.84923863159,0.8492386315920157,1998.2902557014513,101999.13949433304,2.0,1,61000,1000,5000,2026-08-08T22:34:29.648921+00:00
5,5,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_005.csv,100000,100000.77138209423,0.7713820942299208,1998.908462867012,101999.67984496124,2.0,1,61000,1000,5000,2026-08-08T22:34:29.847948+00:00
6,6,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_006.csv,100000,100000.98081350613,0.9808135061321082,1998.908462867012,101999.88927637314,2.0,1,61000,1000,5000,2026-08-08T22:34:30.047717+00:00
7,7,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_007.csv,100000,100000.8137409015,0.8137409015034791,1998.5757052389176,101999.38944614043,2.0,1,61000,1000,5000,2026-08-08T22:34:30.254758+00:00
8,8,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_008.csv,100000,100000.77464625108,0.7746462510840502,1998.2417962003453,101999.01644245142,2.0,1,61000,1000,5000,2026-08-08T22:34:30.454128+00:00
9,9,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_009.csv,100000,100000.75426758245,0.7542675824515754,1999.4317789291883,102000.18604651163,2.0,1,61000,1000,5000,2026-08-08T22:34:30.655599+00:00
10,10,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_010.csv,100000,100001.07101930807,1.0710193080740282,1999.9454231433506,102001.01644245142,2.0,1,61000,1000,5000,2026-08-08T22:34:30.848006+00:00
11,11,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_011.csv,100000,100000.86089859303,0.8608985930331983,1998.7788746298124,101999.63977322285,2.0,1,61000,1000,5000,2026-08-08T22:34:31.048457+00:00
12,12,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_012.csv,100000,100000.83692285923,0.836922859234619,1999.064627528367,101999.9015503876,2.0,1,61000,1000,5000,2026-08-08T22:34:31.255741+00:00
13,13,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_013.csv,100000,100000.46977145842,0.4697714584181085,1999.4317789291883,101999.9015503876,2.0,1,61000,1000,5000,2026-08-08T22:34:31.451718+00:00
14,14,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_014.csv,100000,100000.86089859303,0.8608985930331983,1998.7788746298124,101999.63977322285,2.0,1,61000,1000,5000,2026-08-08T22:34:31.654894+00:00
15,15,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_015.csv,100000,100000.80913741687,0.8091374168725451,1998.207305034551,101999.01644245142,2.0,1,61000,1000,5000,2026-08-08T22:34:31.848095+00:00
16,16,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_016.csv,100000,100000.56096142544,0.5609614254353801,1999.350444225074,101999.9114056505,2.0,1,61000,1000,5000,2026-08-08T22:34:32.058920+00:00
17,17,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_017.csv,100000,100000.7910960391,0.7910960391018307,1999.9393474088292,102000.73044344793,2.0,1,61000,1000,5000,2026-08-08T22:34:32.249027+00:00
18,18,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_018.csv,100000,100000.90690243804,0.9069024380441988,1999.9454231433506,102000.85232558139,2.0,1,61000,1000,5000,2026-08-08T22:34:32.460126+00:00
19,19,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_019.csv,100000,100000.78502030458,0.7850203045818489,1999.9454231433506,102000.73044344793,2.0,1,61000,1000,5000,2026-08-08T22:34:32.658866+00:00
20,20,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_020.csv,100000,100000.72766302398,0.7276630239794031,1999.4317789291883,102000.15944195316,2.0,1,61000,1000,5000,2026-08-08T22:34:32.854719+00:00
21,21,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_021.csv,100000,100000.89610622922,0.896106229221914,1998.4933399111987,101999.38944614043,2.0,1,61000,1000,5000,2026-08-08T22:34:33.048106+00:00
22,22,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_022.csv,100000,100000.72020323735,0.7202032373461407,1999.1813471502592,101999.9015503876,2.0,1,61000,1000,5000,2026-08-08T22:34:33.254582+00:00
23,23,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_023.csv,100000,100000.46923914402,0.469239144018502,1999.7168073676132,102000.18604651163,2.0,1,61000,1000,5000,2026-08-08T22:34:33.450488+00:00
24,24,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_024.csv,100000,100000.72863358904,0.7286335890385089,1999.7168073676132,102000.44544095665,2.0,1,61000,1000,5000,2026-08-08T22:34:33.651477+00:00
25,25,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_025.csv,100000,100000.50469936138,0.5046993613796076,1999.6813471502592,102000.18604651163,2.0,1,61000,1000,5000,2026-08-08T22:34:33.859186+00:00
26,26,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_026.csv,100000,100000.98081350613,0.9808135061321082,1998.908462867012,101999.88927637314,2.0,1,61000,1000,5000,2026-08-08T22:34:34.048341+00:00
27,27,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_027.csv,100000,100000.7910960391,0.7910960391018307,1999.9393474088292,102000.73044344793,2.0,1,61000,1000,5000,2026-08-08T22:34:34.254618+00:00
28,28,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_028.csv,100000,100000.80910154371,0.8091015437094029,1998.4933399111987,101999.30244145491,2.0,1,61000,1000,5000,2026-08-08T22:34:34.458669+00:00
29,29,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_029.csv,100000,100000.47962672132,0.4796267213241663,1999.4317789291883,101999.9114056505,2.0,1,61000,1000,5000,2026-08-08T22:34:34.654276+00:00
30,30,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_030.csv,100000,100000.72020323735,0.7202032373461407,1999.1813471502592,101999.9015503876,2.0,1,61000,1000,5000,2026-08-08T22:34:34.858859+00:00
31,31,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_031.csv,100000,100000.57514569449,0.5751456944853999,1999.064627528367,101999.63977322285,2.0,1,61000,1000,5000,2026-08-08T22:34:35.051588+00:00
32,32,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_032.csv,100000,100001.06064525458,1.0606452545762295,1998.2417962003453,101999.30244145491,2.0,1,61000,1000,5000,2026-08-08T22:34:35.255278+00:00
33,33,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_033.csv,100000,100000.80265805946,0.8026580594596453,1999.7168073676132,102000.51946542707,2.0,1,61000,1000,5000,2026-08-08T22:34:35.466103+00:00
34,34,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_034.csv,100000,100000.89610622922,0.896106229221914,1998.4933399111987,101999.38944614043,2.0,1,61000,1000,5000,2026-08-08T22:34:35.658720+00:00
35,35,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_035.csv,100000,100000.86089859303,0.8608985930331983,1998.7788746298124,101999.63977322285,2.0,1,61000,1000,5000,2026-08-08T22:34:35.855269+00:00
36,36,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_036.csv,100000,100000.86089859303,0.8608985930331983,1998.7788746298124,101999.63977322285,2.0,1,61000,1000,5000,2026-08-08T22:34:36.058995+00:00
37,37,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_037.csv,100000,100000.61521743287,0.6152174328744877,1999.064627528367,101999.67984496124,2.0,1,61000,1000,5000,2026-08-08T22:34:36.259104+00:00
38,38,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_038.csv,100000,100000.8137409015,0.8137409015034791,1998.5757052389176,101999.38944614043,2.0,1,61000,1000,5000,2026-08-08T22:34:36.454900+00:00
39,39,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\100000ns\attempt_039.csv,100000,100000.77438770687,0.7743877068714937,1999.7450777202073,102000.51946542707,2.0,1,61000,1000,5000,2026-08-08T22:34:36.664803+00:00
