attempt,accepted_index,status,reason,raw_path,programmed_delay_ns,measured_separation_ns,residual_ns,reference_edge_time_ns,target_edge_time_ns,sample_interval_ns,timebase,total_samples,pre_trigger_samples,threshold_adc,captured_utc
1,1,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\100000ns\attempt_001.csv,100000,100058.01590556072,58.015905560721876,1998.6234315522347,102056.63933711295,2.0,1,61000,1000,5000,2026-08-08T23:52:17.920997+00:00
2,2,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\100000ns\attempt_002.csv,100000,100058.23931679351,58.239316793507896,1998.649959579628,102056.88927637314,2.0,1,61000,1000,5000,2026-08-08T23:52:18.203048+00:00
3,3,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\100000ns\attempt_003.csv,100000,100058.194975855,58.19497585500358,1998.6943005181347,102056.88927637314,2.0,1,61000,1000,5000,2026-08-08T23:52:18.390679+00:00
4,4,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\100000ns\attempt_004.csv,100000,100057.68966647821,57.68966647821071,1998.4697754749568,102056.15944195316,2.0,1,61000,1000,5000,2026-08-08T23:52:18.606372+00:00
5,5,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\100000ns\attempt_005.csv,100000,100057.64098169595,57.64098169594945,1998.070811744387,102055.71179344034,2.0,1,61000,1000,5000,2026-08-08T23:52:18.798436+00:00
6,6,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\100000ns\attempt_006.csv,100000,100057.9144565007,57.91445650070091,1998.5309844559586,102056.44544095665,2.0,1,61000,1000,5000,2026-08-08T23:52:18.990309+00:00
7,7,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\100000ns\attempt_007.csv,100000,100058.21043080973,58.210430809733225,1998.6788455634019,102056.88927637314,2.0,1,61000,1000,5000,2026-08-08T23:52:19.258495+00:00
8,8,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\100000ns\attempt_008.csv,100000,100058.25992435834,58.25992435833905,1999.2517603294805,102057.51168468782,2.0,1,61000,1000,5000,2026-08-08T23:52:19.490337+00:00
9,9,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\100000ns\attempt_009.csv,100000,100058.30988228423,58.30988228422939,1999.0795638562022,102057.38944614043,2.0,1,61000,1000,5000,2026-08-08T23:52:19.699152+00:00
10,10,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\100000ns\attempt_010.csv,100000,100058.09400130631,58.0940013063082,1998.6364421416235,102056.73044344793,2.0,1,61000,1000,5000,2026-08-08T23:52:19.891939+00:00
11,11,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\100000ns\attempt_011.csv,100000,100057.68790617344,57.687906173436204,1998.2136442141623,102055.9015503876,2.0,1,61000,1000,5000,2026-08-08T23:52:20.096155+00:00
12,12,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\100000ns\attempt_012.csv,100000,100058.38258559268,58.382585592684336,1998.75690874036,102057.13949433304,2.0,1,61000,1000,5000,2026-08-08T23:52:20.303724+00:00
13,13,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\100000ns\attempt_013.csv,100000,100058.25983790506,58.25983790506143,1998.8796564279712,102057.13949433304,2.0,1,61000,1000,5000,2026-08-08T23:52:20.500623+00:00
