attempt,accepted_index,status,reason,raw_path,programmed_delay_ns,measured_separation_ns,residual_ns,reference_edge_time_ns,target_edge_time_ns,sample_interval_ns,timebase,total_samples,pre_trigger_samples,threshold_adc,captured_utc
1,1,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_1_extref_to_daq\raw\100000ns\attempt_001.csv,100000,100001.81582288978,1.815822889780975,1998.9862870302522,102000.80210992003,2.0,1,56000,1000,5000,2026-07-30T19:08:39.357061+00:00
2,2,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_1_extref_to_daq\raw\100000ns\attempt_002.csv,100000,100001.36238216821,1.362382168212207,1998.2034706801546,101999.56585284836,2.0,1,56000,1000,5000,2026-07-30T19:08:39.469672+00:00
3,3,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_1_extref_to_daq\raw\100000ns\attempt_003.csv,100000,100001.78150068635,1.781500686352956,1998.3864421416235,102000.16794282797,2.0,1,56000,1000,5000,2026-07-30T19:08:39.580039+00:00
4,4,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_1_extref_to_daq\raw\100000ns\attempt_004.csv,100000,100001.82081520426,1.8208152042643633,1998.472034010894,102000.29284921516,2.0,1,56000,1000,5000,2026-07-30T19:08:39.690943+00:00
5,5,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_1_extref_to_daq\raw\100000ns\attempt_005.csv,100000,100001.78150068635,1.781500686352956,1998.3864421416235,102000.16794282797,2.0,1,56000,1000,5000,2026-07-30T19:08:39.800701+00:00
6,6,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_1_extref_to_daq\raw\100000ns\attempt_006.csv,100000,100001.94120540966,1.9412054096610518,1998.6364421416235,102000.57764755128,2.0,1,56000,1000,5000,2026-07-30T19:08:39.914486+00:00
7,7,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_1_extref_to_daq\raw\100000ns\attempt_007.csv,100000,100001.90373598436,1.9037359843641752,1998.7396765583294,102000.64341254269,2.0,1,56000,1000,5000,2026-07-30T19:08:40.036648+00:00
8,8,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_1_extref_to_daq\raw\100000ns\attempt_008.csv,100000,100001.8887004168,1.8887004168063868,1998.4421266508634,102000.33082706766,2.0,1,56000,1000,5000,2026-07-30T19:08:40.145975+00:00
9,9,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_1_extref_to_daq\raw\100000ns\attempt_009.csv,100000,100001.79635976475,1.7963597647467395,1998.4509844559586,102000.24734422071,2.0,1,56000,1000,5000,2026-07-30T19:08:40.266314+00:00
10,10,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_1_extref_to_daq\raw\100000ns\attempt_010.csv,100000,100001.36643768751,1.3664376875094604,1999.8080982536942,102001.1745359412,2.0,1,56000,1000,5000,2026-07-30T19:08:40.392901+00:00
11,11,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_1_extref_to_daq\raw\100000ns\attempt_011.csv,100000,100001.4021222784,1.4021222784067504,1998.1637305699483,101999.56585284836,2.0,1,56000,1000,5000,2026-07-30T19:08:40.518285+00:00
12,12,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_1_extref_to_daq\raw\100000ns\attempt_012.csv,100000,100001.90373598436,1.9037359843641752,1998.7396765583294,102000.64341254269,2.0,1,56000,1000,5000,2026-07-30T19:08:40.635887+00:00
