attempt,accepted_index,status,reason,raw_path,programmed_delay_ns,measured_separation_ns,residual_ns,reference_edge_time_ns,target_edge_time_ns,sample_interval_ns,timebase,total_samples,pre_trigger_samples,threshold_adc,captured_utc
1,1,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\0ns\attempt_001.csv,0,11.043862539443353,11.043862539443353,1998.4509844559586,2009.494846995402,2.0,1,6000,1000,5000,2026-07-30T19:22:54.607505+00:00
2,2,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\0ns\attempt_002.csv,0,10.898317138265156,10.898317138265156,2000.015160237958,2010.9134773762232,2.0,1,6000,1000,5000,2026-07-30T19:22:54.829849+00:00
3,3,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\0ns\attempt_003.csv,0,11.697966114745668,11.697966114745668,1998.9299249901303,2010.627891104876,2.0,1,6000,1000,5000,2026-07-30T19:22:54.871037+00:00
4,4,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\0ns\attempt_004.csv,0,11.819422774186933,11.819422774186933,1998.6780368451352,2010.4974596193222,2.0,1,6000,1000,5000,2026-07-30T19:22:54.917019+00:00
5,5,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\0ns\attempt_005.csv,0,10.92903155727413,10.92903155727413,1998.3864421416235,2009.3154736988977,2.0,1,6000,1000,5000,2026-07-30T19:22:54.954468+00:00
6,6,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\0ns\attempt_006.csv,0,11.379247296358471,11.379247296358471,1999.3560736902705,2010.735320986629,2.0,1,6000,1000,5000,2026-07-30T19:22:54.986418+00:00
7,7,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\0ns\attempt_007.csv,0,11.788056243653045,11.788056243653045,1998.8136442141624,2010.6017004578155,2.0,1,6000,1000,5000,2026-07-30T19:22:55.031392+00:00
8,8,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\0ns\attempt_008.csv,0,11.19482527938385,11.19482527938385,1999.6272884283246,2010.8221137077085,2.0,1,6000,1000,5000,2026-07-30T19:22:55.069209+00:00
9,9,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\0ns\attempt_009.csv,0,11.788056243653045,11.788056243653045,1998.8136442141624,2010.6017004578155,2.0,1,6000,1000,5000,2026-07-30T19:22:55.106663+00:00
10,10,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\0ns\attempt_010.csv,0,11.64258370204061,11.64258370204061,1998.5386169588737,2010.1812006609143,2.0,1,6000,1000,5000,2026-07-30T19:22:55.143689+00:00
11,11,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\0ns\attempt_011.csv,0,10.841297255805102,10.841297255805102,1998.0670848104717,2008.9083820662768,2.0,1,6000,1000,5000,2026-07-30T19:22:55.180915+00:00
12,12,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\0ns\attempt_012.csv,0,11.719300096928691,11.719300096928691,1998.5874850538064,2010.306785150735,2.0,1,6000,1000,5000,2026-07-30T19:22:55.214970+00:00
13,13,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\0ns\attempt_013.csv,0,10.872520531366035,10.872520531366035,1998.0670848104717,2008.9396053418377,2.0,1,6000,1000,5000,2026-07-30T19:22:55.254551+00:00
14,14,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\0ns\attempt_014.csv,0,11.795154565615348,11.795154565615348,1998.72326706072,2010.5184216263353,2.0,1,6000,1000,5000,2026-07-30T19:22:55.291154+00:00
15,15,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\0ns\attempt_015.csv,0,11.563968664285085,11.563968664285085,1999.1223347230493,2010.6863033873344,2.0,1,6000,1000,5000,2026-07-30T19:22:55.319877+00:00
16,16,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\0ns\attempt_016.csv,0,11.772716194112945,11.772716194112945,1998.6109844559585,2010.3837006500714,2.0,1,6000,1000,5000,2026-07-30T19:22:55.360847+00:00
17,17,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\0ns\attempt_017.csv,0,10.912773689506366,10.912773689506366,1998.352050565927,2009.2648242554333,2.0,1,6000,1000,5000,2026-07-30T19:22:55.399224+00:00
18,18,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\0ns\attempt_018.csv,0,11.601444435117855,11.601444435117855,1999.0848589522166,2010.6863033873344,2.0,1,6000,1000,5000,2026-07-30T19:22:55.440828+00:00
19,19,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\0ns\attempt_019.csv,0,10.803442183437028,10.803442183437028,1998.1637305699483,2008.9671727533853,2.0,1,6000,1000,5000,2026-07-30T19:22:55.473848+00:00
