attempt,accepted_index,status,reason,raw_path,programmed_delay_ns,measured_separation_ns,residual_ns,reference_edge_time_ns,target_edge_time_ns,sample_interval_ns,timebase,total_samples,pre_trigger_samples,threshold_adc,captured_utc
1,1,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\1000ns\attempt_001.csv,1000,1000.6587422504354,0.6587422504353526,1999.415139681586,3000.0738819320213,2.0,1,12000,1000,5000,2026-07-30T19:50:17.260932+00:00
2,2,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\1000ns\attempt_002.csv,1000,1000.1465076686968,0.1465076686968132,1998.5386169588737,2998.6851246275705,2.0,1,12000,1000,5000,2026-07-30T19:50:17.318194+00:00
3,3,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\1000ns\attempt_003.csv,1000,1000.6587422504354,0.6587422504353526,1999.415139681586,3000.0738819320213,2.0,1,12000,1000,5000,2026-07-30T19:50:17.378684+00:00
4,4,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\1000ns\attempt_004.csv,1000,1000.4948010458186,0.4948010458185763,1999.6272884283246,3000.122089474143,2.0,1,12000,1000,5000,2026-07-30T19:50:17.431269+00:00
5,5,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\1000ns\attempt_005.csv,1000,1000.1081603234934,0.10816032349339366,1998.5489570878171,2998.6571174113105,2.0,1,12000,1000,5000,2026-07-30T19:50:17.484030+00:00
6,6,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\1000ns\attempt_006.csv,1000,1000.1932565906609,0.1932565906608943,1998.649959579628,2998.843216170289,2.0,1,12000,1000,5000,2026-07-30T19:50:17.543612+00:00
7,7,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\1000ns\attempt_007.csv,1000,1000.2191768580888,0.2191768580887583,1998.6943005181347,2998.9134773762235,2.0,1,12000,1000,5000,2026-07-30T19:50:17.598527+00:00
8,8,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\1000ns\attempt_008.csv,1000,1000.2346318128216,0.23463181282158985,1998.6788455634019,2998.9134773762235,2.0,1,12000,1000,5000,2026-07-30T19:50:17.652019+00:00
9,9,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\1000ns\attempt_009.csv,1000,1000.6088045114757,0.6088045114756824,1999.415139681586,3000.0239441930617,2.0,1,12000,1000,5000,2026-07-30T19:50:17.706894+00:00
10,10,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\1000ns\attempt_010.csv,1000,1000.2775232649374,0.277523264937372,1998.856467593855,2999.1339908587925,2.0,1,12000,1000,5000,2026-07-30T19:50:17.762138+00:00
