campaign_id,phase_id,phase_run_id,calibration_bundle_id,calibration_quantity_id,source_campaign_id,source_phase_id,source_artifact_id,value_used,unit,standard_uncertainty,validity_status,notes
system_recalibration_001,TR-01,system_recalibration_001_TR-01_001,CAL-system_recalibration_001-WORKING-EVIDENCE,P0-REQUIREMENT-DECISIONS,system_recalibration_001,P0,manifests/p0_requirement_decisions.md,,,,VALID_COMPLETED,"Final 21-row decision authority"
system_recalibration_001,TR-01,system_recalibration_001_TR-01_001,CAL-system_recalibration_001-WORKING-EVIDENCE,P0-INSTALLED-IDENTITIES,system_recalibration_001,P0,manifests/p0_physical_inventory.md,,,,VALID_COMPLETED,"Includes replacement reference identity satisfying P0-D001"
system_recalibration_001,TR-01,system_recalibration_001_TR-01_001,CAL-system_recalibration_001-WORKING-EVIDENCE,MS01-PICO-PATH,system_recalibration_001,MS-01,readbacks/MS-01/ms01_results.json,,,,VALID_COMPLETED_UNPROMOTED,"Import path skew and uncertainty; do not reacquire"
system_recalibration_001,TR-01,system_recalibration_001_TR-01_001,CAL-system_recalibration_001-WORKING-EVIDENCE,MS02-PICO-SPLITTER-PATH,system_recalibration_001,MS-02,readbacks/MS-02/ms02_results.json,,,,VALID_COMPLETED_UNPROMOTED,"Import correction sensitivities pulse fidelity and uncertainty"
system_recalibration_001,TR-01,system_recalibration_001_TR-01_001,CAL-system_recalibration_001-WORKING-EVIDENCE,T201-INSTALLED-ROUTES,system_recalibration_001,T2-01,readbacks/T2-01/t2_01_results.json,,,,VALID_COMPLETED_UNPROMOTED,"Directly qualified T660-2 installed behavior"
system_recalibration_001,TR-01,system_recalibration_001_TR-01_001,CAL-system_recalibration_001-WORKING-EVIDENCE,T101-INSTALLED-ROUTES,system_recalibration_001,T1-01,readbacks/T1-01/t1_01_results.json,,,,VALID_COMPLETED_UNPROMOTED,"Directly qualified T660-1 routes and adapters"
system_recalibration_001,TR-01,system_recalibration_001_TR-01_001,CAL-system_recalibration_001-WORKING-EVIDENCE,PT01-PROCESS-TRIGGER-TIMING,system_recalibration_001,PT-01,PT01-ART-0009,,,,VALID_COMPLETED_UNPROMOTED,"Active-low process-trigger electrical timing imported"
system_recalibration_001,TR-01,system_recalibration_001_TR-01_001,CAL-system_characterization_001-CH00,CH00-RETAINED-CLAIM-GRID,system_characterization_001,CH-00,CH00-ART-014,,,,VALID_COMPLETED_UNPROMOTED,"Retained later-phase resource relevance"
system_recalibration_001,TR-01,system_recalibration_001_TR-01_001,CAL-system_recalibration_001-WORKING-EVIDENCE,MC01-PROCESS-BEHAVIOR,system_recalibration_001,MC-01,MC01-CLOSEOUT-001,,,,VALID_COMPLETED_UNPROMOTED,"One-command/one-process behavior and runtime limitations"
system_recalibration_001,TR-01,system_recalibration_001_TR-01_001,CAL-system_recalibration_001-WORKING-EVIDENCE,MC01-FINAL-RESTORATION,system_recalibration_001,MC-01,MC01-RESTORATION-002,,,,VALID_COMPLETED_UNPROMOTED,"Ownership release powered-down MIRcat shutter default wiring and safe idle"
