resource_id,equipment_id,manufacturer,model,serial_or_installed_identity,role,configuration_relevance,evidence_source,uncertainty_or_reference_basis,applicability,validity_limitations,disposition
TR01-RES-PICO-01,PICOSCOPE-5244D-10261,Pico Technology,5244D,10261; SDK 10261/0071,WORKING_REFERENCE,"Completed MS-01/MS-02/T2-01/T1-01/PT-01 timing captures; 8BIT DC; A/B 10V; timebases 1 3 11 12; sample intervals 2 8 72 80 ns","manifests/p0_physical_inventory.md; readbacks/MS-01/normal/picoscope_configuration.json; readbacks/MS-02/reconnection_normal/picoscope_configuration.json; readbacks/T2-01/setup_1_extref_to_daq/picoscope_0ns.json; readbacks/T1-01/setup_2_fire_to_qswitch/picoscope_1000000ns.json; readbacks/PT-01/setup_1_fire_to_process_trigger/picoscope_10000ns.json","PicoScope 5000D Series Data Sheet: 5244D initial timebase accuracy +/-2 ppm and drift +/-1 ppm/year; 8-bit gain accuracy +/-2% of signal +/-1 LSB at 15-30 C after 1 h warm-up","Timing and reported quantitative voltage only within recorded configurations","No formal certificate basis claimed. Voltage accuracy is nonapplicable to threshold-only diagnostics. Manufacturer bounds do not replace MS-01/MS-02 path corrections.",RETAINED_NARROWED_P0-D002
TR01-RES-T6601-01,T660-1-00369,Highland Technology,T660,00369,DEVICE_UNDER_TEST,"Installed T660-1 routes and process-trigger command behavior","readbacks/S0/t660_identity_firmware.json; readbacks/T1-01/final_report.md; readbacks/PT-01/final_report.md; readbacks/MC-01/final_report.md","Installed behavior directly qualified by T1-01 PT-01 and MC-01 with their reported uncertainty/ambiguity","Only recorded routes settings polarities loads and validity envelopes","No certificate or accredited device traceability claimed; certificate retrieval discarded by P0-D003.",DIRECTLY_QUALIFIED
TR01-RES-T6602-01,T660-2-00431,Highland Technology,T660,00431,DEVICE_UNDER_TEST,"Installed master timing routes","readbacks/S0/t660_identity_firmware.json; readbacks/T2-01/final_report.md","Installed behavior directly qualified by T2-01 with MS-01/MS-02 measurement-path basis","Only recorded routes settings loads and validity envelopes","No certificate or accredited device traceability claimed; certificate retrieval discarded by P0-D004.",DIRECTLY_QUALIFIED
TR01-RES-MIRCAT-01,MIRCAT-10524,Daylight Solutions,MIRcat-QT-Z-2100,10524,DEVICE_UNDER_TEST,"Probe source and retained external point/process control; GUI 1.9.0.4; firmware 3.1.0; SDK API 2.4.1","manifests/p0_physical_inventory.md; readbacks/MC-01/conditions.csv; readbacks/MC-01/final_report.md","Installed process behavior directly qualified by MC-01; future spectral/output claims require their named phases","MC-01 retained 1905-to-1934 cm^-1 point/process sequence and mandatory runtime prerequisites only","No certificate claim; no optical output spectral accuracy power or detector-response claim; SP-02/QB-01 remain later work.",DIRECTLY_QUALIFIED
TR01-RES-HF2LI-01,HF2LI-dev18500,Zurich Instruments,HF2LI,dev18500; label HF2-DEV18500,DEVICE_UNDER_TEST,"Installed DIO observation in MC-01; future HF-01/HF-02 detector-chain acquisition","manifests/p0_physical_inventory.md; readbacks/MC-01/labone_runtime_recovery.md; readbacks/MC-01/raw_dio_process_diagnostic_status.json","Installed DIO behavior qualified only for the bounded MC-01 diagnostic; LabOne packages zhinst 26.4.0 and zhinst.core 26.4.0.940; API level 1; 210000000 Hz clockbase readback","Accepted MC-01 DIO configuration and later separately qualified HF configurations","No certificate or absolute gain/clock traceability claim; persistent-ready semantics not established; HF-01/HF-02 remain required.",DIRECTLY_QUALIFIED_LIMITED
TR01-RES-DETS-01,VIGO-SAMPLE-SIP-445160800,VIGO Photonics,SIP-DC-250M; PVM-10.6-1x1,SIP 445160800; detector 16023,DEVICE_UNDER_TEST,"Installed sample channel identity for DET-01 through DET-04","manifests/p0_physical_inventory.md","Identity basis only; installed performance must be directly qualified in DET-01 through DET-04","Installed sample channel","No certificate claim and no response timing range or normalization qualification yet.",IDENTITY_RETAINED
TR01-RES-DETR-01,VIGO-REFERENCE-SIP-445161066,VIGO Photonics,SIP-DC-250M; PVM-10.6-1x1,SIP 445161066; detector 21834,DEVICE_UNDER_TEST,"Installed replacement reference channel identity for DET-01 through DET-04","manifests/p0_physical_inventory.md; manifests/p0_requirement_decisions.md P0-D001","Identity basis only; installed performance must be directly qualified in DET-01 through DET-04","Installed reference channel","P0-D001 identity is satisfied; no certificate claim and no response timing balance or normalization qualification yet.",IDENTITY_RETAINED_P0-D001_SATISFIED
TR01-RES-NDYAG-01,NDYAG-SLEX-24366-1,Amplitude Laser Inc.,SL EX,24366-1,DEVICE_UNDER_TEST,"Installed pump source identity; later PB-01","manifests/p0_physical_inventory.md; hardware_configuration.yaml","Future installed performance measured by PB-01 plus identified manufacturer-only bounds","Only later approved pump configurations","Certificate retrieval discarded by P0-D006; no emission or PB-01 qualification in TR-01.",IDENTITY_RETAINED
TR01-RES-OPO-01,OPO-SLOPOPLUS-24366-2,Amplitude Laser Inc.,SLOPO PLUS,24366-2,DEVICE_UNDER_TEST,"Installed OPO identity; later PB-02","manifests/p0_physical_inventory.md; hardware_configuration.yaml","Future installed performance measured by PB-02 plus identified manufacturer-only bounds","Only later approved OPO configurations","Certificate retrieval discarded by P0-D007; no emission or PB-02 qualification in TR-01.",IDENTITY_RETAINED
TR01-RES-POLY-01,POLYSTYRENE-CARD-L120-2057,PerkinElmer,FT-IR Spectroscopy card insert,L120 2057; no lot marking,WORKING_REFERENCE,"Spectral alignment authority selected for SP-01/SV-02","manifests/p0_physical_inventory.md; docs/experiment_requirement_campaign_crosswalk.md","Authoritative feature values and uncertainties must be established in SP-01 before known-value alignment","Feature position only; no absolute absorbance/path-length claim","Supplied certificate peak list uncertainty and path length unavailable. Currently comparison-only and nontraceable; blocking only for SP-01-dependent known-value claims.",DEFERRED_TO_SP-01_P0-D013
