campaign_id,phase_id,acquisition_id,result_set_id,quantity_name,value,unit,statistic,reference_plane,sign_convention,correction_state,standard_uncertainty,coverage_factor,expanded_uncertainty,quality_flag,analysis_artifact_id,notes
system_recalibration_001,MC-01,MC01-CONTROL-001,MC01-RESULT-CONTROL,scan_started,0,boolean,observed,MIRcat manufacturer GUI,1 means started,bounded,,,,PASS,,GUI refused Start Scan because laser was not armed
system_recalibration_001,MC-01,MC01-CONTROL-001,MC01-RESULT-CONTROL,optical_pulses_occurred,0,boolean,observed,MIRcat external optical output,1 means optical pulse occurred,bounded,,,,PASS,,Interlock inhibiting and no external pulse trigger; shutter closed
system_recalibration_001,MC-01,MC01-CONTROL-001,MC01-RESULT-CONTROL,process_trigger_pulses,0,count,observed,T660-1 CHC output,positive count,bounded,,,,PASS,,CHC remained disabled
system_recalibration_001,MC-01,MC01-ACTIVE-REPEAT-001-RETRY1,MC01-RESULT-REPEAT-1,t660_command_count,1,count,observed,T660-1 CHC,positive count,bounded,,,,PASS,MC01-ACTIVE-REPEAT-001-RETRY1,Counter 0 to 1
system_recalibration_001,MC-01,MC01-ACTIVE-REPEAT-001-RETRY1,MC01-RESULT-REPEAT-1,gui_point_transitions,1,count,observed,MIRcat manufacturer GUI,1905 to 1934 cm^-1,bounded,,,,PASS,MC01-ACTIVE-GUI-005,Terminal point required explicit Stop Scan
system_recalibration_001,MC-01,MC01-ACTIVE-REPEAT-002,MC01-RESULT-REPEAT-2,t660_command_count,1,count,observed,T660-1 CHC,positive count,bounded,,,,PASS,MC01-ACTIVE-REPEAT-002,Counter 0 to 1
system_recalibration_001,MC-01,MC01-ACTIVE-REPEAT-002,MC01-RESULT-REPEAT-2,gui_point_transitions,1,count,observed,MIRcat manufacturer GUI,1905 to 1934 cm^-1,bounded,,,,PASS,MC01-ACTIVE-GUI-007,Terminal point required explicit Stop Scan
system_recalibration_001,MC-01,MC01-ACTIVE-REPEAT-003,MC01-RESULT-REPEAT-3,t660_command_count,1,count,observed,T660-1 CHC,positive count,bounded,,,,PASS,MC01-ACTIVE-REPEAT-003,Counter 0 to 1
system_recalibration_001,MC-01,MC01-ACTIVE-REPEAT-003,MC01-RESULT-REPEAT-3,gui_point_transitions,1,count,observed,MIRcat manufacturer GUI,1905 to 1934 cm^-1,bounded,,,,PASS,MC01-ACTIVE-REPEAT-003,Terminal point required explicit Stop Scan
system_recalibration_001,MC-01,MC01-DIO-DIAGNOSTIC-002,MC01-RESULT-DIO,dio_sample_count,14596,count,observed,HF2LI dev18500 raw sample.dio,positive count,bounded,,,,PASS,MC01-DIO-DIAGNOSTIC-002,Uninterpolated raw subscription
system_recalibration_001,MC-01,MC01-DIO-DIAGNOSTIC-002,MC01-RESULT-DIO,dio_capture_duration,4.056576,s,observed,HF2LI dev18500 raw sample.dio,positive elapsed time,bounded,,,,PASS,MC01-DIO-DIAGNOSTIC-002,Host-relative duration
system_recalibration_001,MC-01,MC01-DIO-DIAGNOSTIC-002,MC01-RESULT-DIO,dio21_rise_separation,0.724319086,s,observed,DB9 pin 2 mapped to DIO21,positive elapsed time,bounded,0.000555886,1,0.000555886,LIMITED,MC01-DIO-DIAGNOSTIC-002,Descriptive only; not a universal host delay
system_recalibration_001,MC-01,MC01-DIO-DIAGNOSTIC-002,MC01-RESULT-DIO,dio22_edges,0,count,observed,DB9 pin 3 mapped to DIO22,positive count,bounded,,,,PASS,MC01-DIO-DIAGNOSTIC-002,Wavelength Trigger Pulse Mode not selected
system_recalibration_001,MC-01,MC01-SDK-QUAL-001,MC01-RESULT-SDK,external_mode_set_readback,1,boolean,observed,MIRcat SDK API 2.4.1,1 means pass,bounded,,,,PASS,MC01-SDK-QUAL-001,Exclusive ownership
system_recalibration_001,MC-01,MC01-SDK-QUAL-001,MC01-RESULT-SDK,internal_mode_restore_readback,1,boolean,observed,MIRcat SDK API 2.4.1,1 means pass,bounded,,,,PASS,MC01-SDK-QUAL-001,Restoration prerequisite
