campaign_id,phase_id,phase_run_id,acquisition_id,parent_acquisition_id,start_utc,end_utc,operator_id,configuration_id,calibration_bundle_id,sample_id,measurement_kind,condition_set_id,replicate_index,planned,accepted,rejection_code,raw_primary_artifact_id,notes
system_recalibration_001,OM-01,system_recalibration_001_OM-01_001,OM01-USB-DIAG-001,,2026-08-18T20:59:35.3243368Z,2026-08-18T20:59:39.0000000Z,Christopher_Robertson;Codex_orchestration,OM01-NEWPORT1918-919P01016-v1,CAL-system_recalibration_001-OM01-PROVISIONAL,NO-SAMPLE-OM01,usb_identity_configuration_readback,OM01-COND-USB-001,1,false,true,,OM01-RAW-USB-0001,"Diagnostic read-only communication; no optical reading or state-changing command"
system_recalibration_001,OM-01,system_recalibration_001_OM-01_001,OM01-INSP-001,,2026-08-18T21:38:14.7565917Z,2026-08-18T21:38:14.7565917Z,Christopher_Robertson,OM01-NEWPORT1918-919P01016-v1,CAL-system_recalibration_001-OM01-PROVISIONAL,NO-SAMPLE-OM01,sensor_visual_condition,OM01-COND-INSP-001,1,true,true,,OM01-ART-0022,"Operator visual inspection only; sensor remained outside all beams"
system_recalibration_001,OM-01,system_recalibration_001_OM-01_001,OM01-INSP-002,,2026-08-18T21:40:44.2257226Z,2026-08-18T21:43:00.2266989Z,Christopher_Robertson,OM01-NEWPORT1918-919P01016-v1,CAL-system_recalibration_001-OM01-PROVISIONAL,NO-SAMPLE-OM01,sensor_photograph_and_dark_cover_inventory,OM01-COND-INSP-002,1,true,true,,OM01-ART-PHOTO-0001,"Photograph accepted; dedicated dark cap unavailable; no optical acquisition"
system_recalibration_001,OM-01,system_recalibration_001_OM-01_001,OM01-INSP-003,,2026-08-18T21:45:21.4408163Z,2026-08-18T21:47:13.4508216Z,Christopher_Robertson,OM01-DARK-COVER-PLASTIC-v1,CAL-system_recalibration_001-OM01-PROVISIONAL,NO-SAMPLE-OM01,temporary_dark_cover_installation,OM01-COND-INSP-003,1,true,true,,OM01-ART-PHOTO-0002,"Opaque plastic taped over tube end; no sensor contact or edge light; placement photograph accepted"
system_recalibration_001,OM-01,system_recalibration_001_OM-01_001,OM01-DARK-PREVIEW-001,OM01-INSP-003,2026-08-18T21:49:10.5304389Z,2026-08-18T21:49:14.4165958Z,Christopher_Robertson;Codex_orchestration,OM01-DARK-COVER-PLASTIC-v1,CAL-system_recalibration_001-OM01-PROVISIONAL,NO-SAMPLE-OM01,covered_dark_preview,OM01-COND-DARK-PREVIEW-001,1,false,false,PREVIEW_SUPERSEDED_RANGE_INTERPRETATION,OM01-RAW-DARK-0001,"Read-only unfiltered preview retained; later front-panel mapping established range 0 as the most sensitive 3.868 W range"
system_recalibration_001,OM-01,system_recalibration_001_OM-01_001,OM01-DARK-PREVIEW-002,OM01-DARK-PREVIEW-001,2026-08-18T21:50:33.4429580Z,2026-08-18T21:50:36.8213635Z,Christopher_Robertson;Codex_orchestration,OM01-DARK-COVER-PLASTIC-v1,CAL-system_recalibration_001-OM01-PROVISIONAL,NO-SAMPLE-OM01,covered_dark_preview_zero_removed,OM01-COND-DARK-PREVIEW-002,2,false,false,PREVIEW_SUPERSEDED_RANGE_INTERPRETATION,OM01-RAW-DARK-0002,"Unfiltered preview after zero removal; preserved but superseded by filtered accepted baseline"
system_recalibration_001,OM-01,system_recalibration_001_OM-01_001,OM01-DARK-PREZERO-001,OM01-DARK-PREVIEW-002,,2026-08-18T22:01:16.0815508Z,Christopher_Robertson;Codex_orchestration,OM01-POWER-532NM-R0-AF05HZ-v1,CAL-system_recalibration_001-OM01-PROVISIONAL,NO-SAMPLE-OM01,covered_filtered_prezero_baseline,OM01-COND-DARK-PREZERO-001,1,true,true,,OM01-RAW-DARK-0003,"30 read-only readings; stable enough for stored-zero gate"
system_recalibration_001,OM-01,system_recalibration_001_OM-01_001,OM01-DARK-POSTZERO-001,OM01-DARK-PREZERO-001,,2026-08-18T22:08:11.9240003Z,Christopher_Robertson;Codex_orchestration,OM01-POWER-532NM-R0-AF05HZ-v1,CAL-system_recalibration_001-OM01-PROVISIONAL,NO-SAMPLE-OM01,covered_postzero_check,OM01-COND-DARK-POSTZERO-001,1,true,true,,OM01-RAW-DARK-0004,"Operator stored zero once; 20 corrected readings pass near-zero check"
system_recalibration_001,OM-01,system_recalibration_001_OM-01_001,OM01-DARK540-PREZERO-001,OM01-DARK-POSTZERO-001,2026-08-19T17:32:41.192125Z,2026-08-19T17:32:51.746937Z,Christopher_Robertson;Codex_orchestration,OM01-POWER-540NM-R0-AF05HZ-v1,CAL-system_recalibration_001-OM01-PROVISIONAL,NO-SAMPLE-OM01,covered_filtered_prezero_baseline,OM01-COND-540-DARK-001,1,true,true,,OM01-RAW-540-0001,"30 readings; zero inactive; cover and shutters confirmed"
system_recalibration_001,OM-01,system_recalibration_001_OM-01_001,OM01-DARK540-POSTZERO-SETTLING-001,OM01-DARK540-PREZERO-001,2026-08-19T17:34:15.903549Z,2026-08-19T17:34:25.706602Z,Christopher_Robertson;Codex_orchestration,OM01-POWER-540NM-R0-AF05HZ-v1,CAL-system_recalibration_001-OM01-PROVISIONAL,NO-SAMPLE-OM01,covered_postzero_settling,OM01-COND-540-DARK-002,1,false,false,POSTZERO_FILTER_SETTLING,OM01-RAW-540-0002,Retained transient after zero command
