attempt,accepted_index,status,reason,raw_path,programmed_delay_ns,measured_separation_ns,residual_ns,reference_edge_time_ns,target_edge_time_ns,sample_interval_ns,timebase,total_samples,pre_trigger_samples,threshold_adc,captured_utc
1,1,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\PT-01\setup_1_fire_to_process_trigger\raw\100ns\attempt_001.csv,100,122.55637691893207,22.556376918932074,71978.18314041573,72100.73951733466,72.0,11,141000,1000,5000,2026-08-17T17:00:08.948760+00:00
2,2,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\PT-01\setup_1_fire_to_process_trigger\raw\100ns\attempt_002.csv,100,130.4467173266894,30.446717326689395,71978.18314041573,72108.62985774242,72.0,11,141000,1000,5000,2026-08-17T17:00:09.416720+00:00
3,3,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\PT-01\setup_1_fire_to_process_trigger\raw\100ns\attempt_003.csv,100,134.0698909158673,34.06989091586729,71974.89500509684,72108.96489601271,72.0,11,141000,1000,5000,2026-08-17T17:00:09.815211+00:00
4,4,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\PT-01\setup_1_fire_to_process_trigger\raw\100ns\attempt_004.csv,100,65.62652124751185,-34.373478752488154,71977.31935675998,72042.9458780075,72.0,11,141000,1000,5000,2026-08-17T17:00:10.218230+00:00
5,5,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\PT-01\setup_1_fire_to_process_trigger\raw\100ns\attempt_005.csv,100,134.9379172599438,34.93791725994379,71973.11479591836,72108.0527131783,72.0,11,141000,1000,5000,2026-08-17T17:00:10.613006+00:00
6,6,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\PT-01\setup_1_fire_to_process_trigger\raw\100ns\attempt_006.csv,100,115.95688847621204,15.956888476212043,71993.0080075365,72108.96489601271,72.0,11,141000,1000,5000,2026-08-17T17:00:11.021914+00:00
7,7,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\PT-01\setup_1_fire_to_process_trigger\raw\100ns\attempt_007.csv,100,84.40480045703589,-15.59519954296411,71979.07772020725,72063.48252066429,72.0,11,141000,1000,5000,2026-08-17T17:00:11.414338+00:00
8,8,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\PT-01\setup_1_fire_to_process_trigger\raw\100ns\attempt_008.csv,100,133.2175225570245,33.217522557024495,71975.299270073,72108.51679263002,72.0,11,141000,1000,5000,2026-08-17T17:00:11.822645+00:00
9,9,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\PT-01\setup_1_fire_to_process_trigger\raw\100ns\attempt_009.csv,100,68.91886824909307,-31.081131750906934,71978.18314041573,72047.10200866482,72.0,11,141000,1000,5000,2026-08-17T17:00:12.220795+00:00
10,10,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\PT-01\setup_1_fire_to_process_trigger\raw\100ns\attempt_010.csv,100,67.10055360235856,-32.89944639764144,71976.48480590199,72043.58535950434,72.0,11,141000,1000,5000,2026-08-17T17:00:12.627139+00:00
