attempt,accepted_index,status,reason,raw_path,measured_separation_ns,sample_interval_ns,threshold_adc,captured_utc
1,1,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_001.csv,13.257822513544625,2.0,5000,2026-08-13T21:48:18.748646+00:00
2,2,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_002.csv,13.204306663325042,2.0,5000,2026-08-13T21:48:19.091207+00:00
3,3,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_003.csv,12.932384164207633,2.0,5000,2026-08-13T21:48:19.254747+00:00
4,4,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_004.csv,13.257822513544625,2.0,5000,2026-08-13T21:48:19.421461+00:00
5,5,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_005.csv,12.581155993031416,2.0,5000,2026-08-13T21:48:19.596460+00:00
6,6,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_006.csv,13.327689442508927,2.0,5000,2026-08-13T21:48:19.755105+00:00
7,7,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_007.csv,13.319536084109586,2.0,5000,2026-08-13T21:48:19.915048+00:00
8,8,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_008.csv,13.295507442640883,2.0,5000,2026-08-13T21:48:20.090506+00:00
9,9,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_009.csv,12.524888157158784,2.0,5000,2026-08-13T21:48:20.258134+00:00
10,10,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_010.csv,13.090595556494463,2.0,5000,2026-08-13T21:48:20.421555+00:00
11,11,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_011.csv,12.708381103027477,2.0,5000,2026-08-13T21:48:20.600186+00:00
12,12,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_012.csv,12.444017320075773,2.0,5000,2026-08-13T21:48:20.761267+00:00
13,13,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_013.csv,13.20219371905182,2.0,5000,2026-08-13T21:48:20.920612+00:00
14,14,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_014.csv,13.360398449357035,2.0,5000,2026-08-13T21:48:21.078608+00:00
15,15,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_015.csv,13.400735102935414,2.0,5000,2026-08-13T21:48:21.240922+00:00
16,16,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_016.csv,12.539715595536563,2.0,5000,2026-08-13T21:48:21.405571+00:00
17,17,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_017.csv,12.751716022854453,2.0,5000,2026-08-13T21:48:21.578380+00:00
18,18,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_018.csv,13.291929750572308,2.0,5000,2026-08-13T21:48:21.744790+00:00
19,19,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_019.csv,12.625688066358862,2.0,5000,2026-08-13T21:48:21.905344+00:00
20,20,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_020.csv,13.295507442640883,2.0,5000,2026-08-13T21:48:22.072637+00:00
21,21,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_021.csv,13.240018444809493,2.0,5000,2026-08-13T21:48:22.231813+00:00
22,22,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_022.csv,12.438915686336486,2.0,5000,2026-08-13T21:48:22.411071+00:00
23,23,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_023.csv,13.278704585763307,2.0,5000,2026-08-13T21:48:22.571759+00:00
24,24,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_024.csv,12.438915686336486,2.0,5000,2026-08-13T21:48:22.733966+00:00
25,25,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_025.csv,12.916437645169026,2.0,5000,2026-08-13T21:48:22.899030+00:00
26,26,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_026.csv,12.515570547586776,2.0,5000,2026-08-13T21:48:23.066968+00:00
27,27,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_027.csv,13.114508829280567,2.0,5000,2026-08-13T21:48:23.239471+00:00
28,28,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_028.csv,12.539715595536563,2.0,5000,2026-08-13T21:48:23.405155+00:00
29,29,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_029.csv,12.49077886424243,2.0,5000,2026-08-13T21:48:23.565160+00:00
30,30,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_030.csv,12.970568870892976,2.0,5000,2026-08-13T21:48:23.738870+00:00
31,31,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_031.csv,13.238443800761615,2.0,5000,2026-08-13T21:48:23.903213+00:00
32,32,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_032.csv,13.368026096087306,2.0,5000,2026-08-13T21:48:24.072241+00:00
33,33,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_033.csv,13.054345474784668,2.0,5000,2026-08-13T21:48:24.242527+00:00
34,34,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_034.csv,12.87556152628963,2.0,5000,2026-08-13T21:48:24.405347+00:00
35,35,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_035.csv,12.536374441447606,2.0,5000,2026-08-13T21:48:24.575377+00:00
36,36,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_036.csv,12.489867059735843,2.0,5000,2026-08-13T21:48:24.739416+00:00
37,37,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_037.csv,12.970568870892976,2.0,5000,2026-08-13T21:48:24.904128+00:00
38,38,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_038.csv,13.027391508810979,2.0,5000,2026-08-13T21:48:25.065186+00:00
39,39,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_039.csv,13.09729100413574,2.0,5000,2026-08-13T21:48:25.232574+00:00
40,40,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_040.csv,13.284593570394918,2.0,5000,2026-08-13T21:48:25.400427+00:00
41,41,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_normal\raw\attempt_041.csv,13.20219371905182,2.0,5000,2026-08-13T21:48:25.565721+00:00
