attempt,accepted_index,status,reason,raw_path,programmed_delay_ns,measured_separation_ns,residual_ns,reference_edge_time_ns,target_edge_time_ns,sample_interval_ns,timebase,total_samples,pre_trigger_samples,threshold_adc,captured_utc
1,1,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\0ns\attempt_001.csv,0,57.645584495715866,57.645584495715866,1999.0848589522166,2056.7304434479324,2.0,1,11000,1000,5000,2026-08-08T21:54:42.580687+00:00
2,2,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\0ns\attempt_002.csv,0,57.3597486111978,57.3597486111978,1998.5418017763993,2055.901550387597,2.0,1,11000,1000,5000,2026-08-08T21:54:42.864696+00:00
3,3,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\0ns\attempt_003.csv,0,57.33139607934868,57.33139607934868,1999.8080982536942,2057.139494333043,2.0,1,11000,1000,5000,2026-08-08T21:54:42.963689+00:00
4,4,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\0ns\attempt_004.csv,0,57.4756280041172,57.4756280041172,1998.7104185075107,2056.186046511628,2.0,1,11000,1000,5000,2026-08-08T21:54:43.059868+00:00
5,5,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\0ns\attempt_005.csv,0,57.58956835837603,57.58956835837603,1999.5499259746668,2057.139494333043,2.0,1,11000,1000,5000,2026-08-08T21:54:43.159615+00:00
6,6,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\0ns\attempt_006.csv,0,57.39836100181742,57.39836100181742,1998.49091537133,2055.8892763731474,2.0,1,11000,1000,5000,2026-08-08T21:54:43.254377+00:00
7,7,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\0ns\attempt_007.csv,0,57.63179674248909,57.63179674248909,1998.8136442141624,2056.4454409566515,2.0,1,11000,1000,5000,2026-08-08T21:54:43.359321+00:00
8,8,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\0ns\attempt_008.csv,0,57.72692749577254,57.72692749577254,1999.1623488773748,2056.8892763731474,2.0,1,11000,1000,5000,2026-08-08T21:54:43.454808+00:00
9,9,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\0ns\attempt_009.csv,0,57.68380042637159,57.68380042637159,1999.2054759467758,2056.8892763731474,2.0,1,11000,1000,5000,2026-08-08T21:54:43.564824+00:00
10,10,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\0ns\attempt_010.csv,0,57.58956835837603,57.58956835837603,1999.5499259746668,2057.139494333043,2.0,1,11000,1000,5000,2026-08-08T21:54:43.659931+00:00
