attempt,accepted_index,status,reason,raw_path,programmed_delay_ns,measured_separation_ns,residual_ns,reference_edge_time_ns,target_edge_time_ns,sample_interval_ns,timebase,total_samples,pre_trigger_samples,threshold_adc,captured_utc
1,1,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\100000ns\attempt_001.csv,100000,100000.48864724759,0.48864724759187084,1998.2417962003453,101998.73044344793,2.0,1,61000,1000,5000,2026-08-08T22:08:27.283428+00:00
2,2,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\100000ns\attempt_002.csv,100000,100000.48864724759,0.48864724759187084,1998.2417962003453,101998.73044344793,2.0,1,61000,1000,5000,2026-08-08T22:08:27.544790+00:00
3,3,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\100000ns\attempt_003.csv,100000,100000.58011801825,0.5801180182461394,1999.9393474088292,102000.51946542707,2.0,1,61000,1000,5000,2026-08-08T22:08:27.731325+00:00
4,4,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\100000ns\attempt_004.csv,100000,100000.26563524206,0.26563524205994327,1999.6359151455354,101999.9015503876,2.0,1,61000,1000,5000,2026-08-08T22:08:27.936353+00:00
5,5,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\100000ns\attempt_005.csv,100000,100000.56378909411,0.5637890941143269,1998.5757052389176,101999.13949433304,2.0,1,61000,1000,5000,2026-08-08T22:08:28.126109+00:00
6,6,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\100000ns\attempt_006.csv,100000,100000.32940073617,0.3294007361691911,1999.350444225074,101999.67984496124,2.0,1,61000,1000,5000,2026-08-08T22:08:28.332201+00:00
7,7,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\100000ns\attempt_007.csv,100000,100000.58011801825,0.5801180182461394,1999.9393474088292,102000.51946542707,2.0,1,61000,1000,5000,2026-08-08T22:08:28.542020+00:00
8,8,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\100000ns\attempt_008.csv,100000,100000.61034127271,0.6103412727097748,1998.5757052389176,101999.18604651163,2.0,1,61000,1000,5000,2026-08-08T22:08:28.732431+00:00
9,9,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\100000ns\attempt_009.csv,100000,100000.23710353673,0.23710353672504425,1998.4933399111987,101998.73044344793,2.0,1,61000,1000,5000,2026-08-08T22:08:28.926046+00:00
10,10,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\100000ns\attempt_010.csv,100000,100000.58011801825,0.5801180182461394,1999.9393474088292,102000.51946542707,2.0,1,61000,1000,5000,2026-08-08T22:08:29.137762+00:00
11,11,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\100000ns\attempt_011.csv,100000,100000.26563524206,0.26563524205994327,1999.6359151455354,101999.9015503876,2.0,1,61000,1000,5000,2026-08-08T22:08:29.341312+00:00
12,12,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\100000ns\attempt_012.csv,100000,100000.77464625108,0.7746462510840502,1998.2417962003453,101999.01644245142,2.0,1,61000,1000,5000,2026-08-08T22:08:29.535998+00:00
13,13,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\100000ns\attempt_013.csv,100000,100000.32940073617,0.3294007361691911,1999.350444225074,101999.67984496124,2.0,1,61000,1000,5000,2026-08-08T22:08:29.742190+00:00
14,14,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\100000ns\attempt_014.csv,100000,100000.40673272926,0.4067327292577829,1999.4948176583493,101999.9015503876,2.0,1,61000,1000,5000,2026-08-08T22:08:29.937594+00:00
15,15,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\100000ns\attempt_015.csv,100000,100000.5063446547,0.5063446546992054,1999.7168073676132,102000.22315202231,2.0,1,61000,1000,5000,2026-08-08T22:08:30.140053+00:00
16,16,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\100000ns\attempt_016.csv,100000,100000.53883214807,0.5388321480713785,1999.350444225074,101999.88927637314,2.0,1,61000,1000,5000,2026-08-08T22:08:30.337616+00:00
17,17,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\100000ns\attempt_017.csv,100000,100000.32940073617,0.3294007361691911,1999.350444225074,101999.67984496124,2.0,1,61000,1000,5000,2026-08-08T22:08:30.539913+00:00
18,18,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\100000ns\attempt_018.csv,100000,100000.77464625108,0.7746462510840502,1998.2417962003453,101999.01644245142,2.0,1,61000,1000,5000,2026-08-08T22:08:30.736335+00:00
19,19,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\100000ns\attempt_019.csv,100000,100000.55110616253,0.5511061625293223,1999.350444225074,101999.9015503876,2.0,1,61000,1000,5000,2026-08-08T22:08:30.940418+00:00
20,20,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\100000ns\attempt_020.csv,100000,100000.46923914402,0.469239144018502,1999.7168073676132,102000.18604651163,2.0,1,61000,1000,5000,2026-08-08T22:08:31.138808+00:00
21,21,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\100000ns\attempt_021.csv,100000,100000.52310254022,0.5231025402172236,1998.4933399111987,101999.01644245142,2.0,1,61000,1000,5000,2026-08-08T22:08:31.344214+00:00
22,22,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\100000ns\attempt_022.csv,100000,100000.72618674998,0.7261867499764776,1998.2902557014513,101999.01644245142,2.0,1,61000,1000,5000,2026-08-08T22:08:31.541942+00:00
23,23,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\100000ns\attempt_023.csv,100000,100000.4407372125,0.4407372124987887,1998.5757052389176,101999.01644245142,2.0,1,61000,1000,5000,2026-08-08T22:08:31.726438+00:00
24,24,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\100000ns\attempt_024.csv,100000,100000.58768649789,0.5876864978927188,1999.9317789291883,102000.51946542707,2.0,1,61000,1000,5000,2026-08-08T22:08:31.942200+00:00
25,25,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\100000ns\attempt_025.csv,100000,100000.48098327342,0.48098327341722324,1998.908462867012,101999.38944614043,2.0,1,61000,1000,5000,2026-08-08T22:08:32.137721+00:00
26,26,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\100000ns\attempt_026.csv,100000,100000.48864724759,0.48864724759187084,1998.2417962003453,101998.73044344793,2.0,1,61000,1000,5000,2026-08-08T22:08:32.338814+00:00
27,27,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\100000ns\attempt_027.csv,100000,100000.36061970322,0.36061970322043635,1998.7788746298124,101999.13949433304,2.0,1,61000,1000,5000,2026-08-08T22:08:32.538127+00:00
28,28,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\100000ns\attempt_028.csv,100000,100000.48098327342,0.48098327341722324,1998.908462867012,101999.38944614043,2.0,1,61000,1000,5000,2026-08-08T22:08:32.737938+00:00
29,29,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\100000ns\attempt_029.csv,100000,100000.32481861206,0.3248186120617902,1999.064627528367,101999.38944614043,2.0,1,61000,1000,5000,2026-08-08T22:08:32.944429+00:00
30,30,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\100000ns\attempt_030.csv,100000,100000.56378909411,0.5637890941143269,1998.5757052389176,101999.13949433304,2.0,1,61000,1000,5000,2026-08-08T22:08:33.137935+00:00
31,31,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\100000ns\attempt_031.csv,100000,100000.50609354783,0.506093547825003,1999.9393474088292,102000.44544095665,2.0,1,61000,1000,5000,2026-08-08T22:08:33.345395+00:00
32,32,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\100000ns\attempt_032.csv,100000,100000.39273681272,0.3927368127187947,1999.064627528367,101999.45736434108,2.0,1,61000,1000,5000,2026-08-08T22:08:33.544745+00:00
33,33,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch\raw\100000ns\attempt_033.csv,100000,100000.50469936138,0.5046993613796076,1999.6813471502592,102000.18604651163,2.0,1,61000,1000,5000,2026-08-08T22:08:33.746430+00:00
