attempt,accepted_index,status,reason,raw_path,programmed_delay_ns,measured_separation_ns,residual_ns,reference_edge_time_ns,target_edge_time_ns,sample_interval_ns,timebase,total_samples,pre_trigger_samples,threshold_adc,captured_utc
1,1,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\0ns\attempt_001.csv,0,57.38113618584748,57.38113618584748,1998.2987087753927,2055.67984496124,2.0,1,11000,1000,5000,2026-08-08T23:51:12.940981+00:00
2,2,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\0ns\attempt_002.csv,0,57.95554419634914,57.95554419634914,1998.7748992515833,2056.7304434479324,2.0,1,11000,1000,5000,2026-08-08T23:51:13.205139+00:00
3,3,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\0ns\attempt_003.csv,0,57.41045394095363,57.41045394095363,1998.5009517095523,2055.911405650506,2.0,1,11000,1000,5000,2026-08-08T23:51:13.301237+00:00
4,4,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\0ns\attempt_004.csv,0,57.99938718371709,57.99938718371709,1999.017055267703,2057.01644245142,2.0,1,11000,1000,5000,2026-08-08T23:51:13.396642+00:00
5,5,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\0ns\attempt_005.csv,0,57.38112928583655,57.38112928583655,1998.3306641544984,2055.711793440335,2.0,1,11000,1000,5000,2026-08-08T23:51:13.501343+00:00
6,6,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\0ns\attempt_006.csv,0,57.766595393249645,57.766595393249645,1998.6788455634019,2056.4454409566515,2.0,1,11000,1000,5000,2026-08-08T23:51:13.596847+00:00
7,7,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\0ns\attempt_007.csv,0,57.75553060427137,57.75553060427137,1999.4793531166588,2057.23488372093,2.0,1,11000,1000,5000,2026-08-08T23:51:13.704617+00:00
8,8,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\0ns\attempt_008.csv,0,57.516908877786136,57.516908877786136,1998.1228643450659,2055.639773222852,2.0,1,11000,1000,5000,2026-08-08T23:51:13.802798+00:00
9,9,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\0ns\attempt_009.csv,0,57.27463336389815,57.27463336389815,1998.4371600764368,2055.711793440335,2.0,1,11000,1000,5000,2026-08-08T23:51:13.901283+00:00
10,10,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\0ns\attempt_010.csv,0,57.31863439604058,57.31863439604058,1998.070811744387,2055.3894461404275,2.0,1,11000,1000,5000,2026-08-08T23:51:14.004300+00:00
