attempt,accepted_index,status,reason,raw_path,programmed_delay_ns,measured_separation_ns,residual_ns,reference_edge_time_ns,target_edge_time_ns,sample_interval_ns,timebase,total_samples,pre_trigger_samples,threshold_adc,captured_utc
1,1,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\1000ns\attempt_001.csv,1000,1011.0433425110912,11.043342511091168,1998.3864421416235,3009.4297846527147,2.0,1,7000,1000,5000,2026-07-30T19:23:09.233107+00:00
2,2,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\1000ns\attempt_002.csv,1000,1011.5729721092544,11.572972109254351,1999.1623488773748,3010.735320986629,2.0,1,7000,1000,5000,2026-07-30T19:23:09.273101+00:00
3,3,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\1000ns\attempt_003.csv,1000,1011.8531656099278,11.853165609927828,1998.6109844559585,3010.4641500658863,2.0,1,7000,1000,5000,2026-07-30T19:23:09.317996+00:00
4,4,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\1000ns\attempt_004.csv,1000,1010.9080614527641,10.90806145276406,1998.119625488592,3009.027686941356,2.0,1,7000,1000,5000,2026-07-30T19:23:09.357961+00:00
5,5,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\1000ns\attempt_005.csv,1000,1011.8219474452169,11.821947445216892,1998.7075167079672,3010.529464153184,2.0,1,7000,1000,5000,2026-07-30T19:23:09.398888+00:00
6,6,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\1000ns\attempt_006.csv,1000,1011.5540226161063,11.554022616106295,1998.472034010894,3010.0260566270003,2.0,1,7000,1000,5000,2026-07-30T19:23:09.434394+00:00
7,7,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\1000ns\attempt_007.csv,1000,1011.6519965063706,11.651996506370551,1999.04992199688,3010.7019185032505,2.0,1,7000,1000,5000,2026-07-30T19:23:09.467652+00:00
8,8,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\1000ns\attempt_008.csv,1000,1011.6310759008475,11.631075900847463,1998.5009124087592,3010.1319883096066,2.0,1,7000,1000,5000,2026-07-30T19:23:09.514683+00:00
9,9,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\1000ns\attempt_009.csv,1000,1011.3155045375418,11.315504537541756,1999.5499259746668,3010.8654305122086,2.0,1,7000,1000,5000,2026-07-30T19:23:09.554335+00:00
10,10,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\1000ns\attempt_010.csv,1000,1011.5592871940419,11.559287194041872,1999.2054759467758,3010.7647631408176,2.0,1,7000,1000,5000,2026-07-30T19:23:09.604238+00:00
11,11,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\1000ns\attempt_011.csv,1000,1011.5987328805245,11.598732880524494,1998.4813058791656,3010.08003875969,2.0,1,7000,1000,5000,2026-07-30T19:23:09.642875+00:00
12,12,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\1000ns\attempt_012.csv,1000,1011.8078677844649,11.807867784464861,1998.7938326733508,3010.6017004578157,2.0,1,7000,1000,5000,2026-07-30T19:23:09.690952+00:00
13,13,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\1000ns\attempt_013.csv,1000,1011.8531656099278,11.853165609927828,1998.6109844559585,3010.4641500658863,2.0,1,7000,1000,5000,2026-07-30T19:23:09.732520+00:00
14,14,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\1000ns\attempt_014.csv,1000,1011.5540226161063,11.554022616106295,1998.472034010894,3010.0260566270003,2.0,1,7000,1000,5000,2026-07-30T19:23:09.784019+00:00
15,15,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\1000ns\attempt_015.csv,1000,1011.7290749000845,11.72907490008447,1998.9572284872497,3010.686303387334,2.0,1,7000,1000,5000,2026-07-30T19:23:09.826004+00:00
16,16,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\1000ns\attempt_016.csv,1000,1010.9080614527641,10.90806145276406,1998.119625488592,3009.027686941356,2.0,1,7000,1000,5000,2026-07-30T19:23:09.867811+00:00
17,17,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\1000ns\attempt_017.csv,1000,1011.8239607421872,11.823960742187182,1998.559739907884,3010.383700650071,2.0,1,7000,1000,5000,2026-07-30T19:23:09.911338+00:00
18,18,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\1000ns\attempt_018.csv,1000,1011.5959260054328,11.59592600543283,1999.1223347230493,3010.718260728482,2.0,1,7000,1000,5000,2026-07-30T19:23:09.947150+00:00
19,19,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\1000ns\attempt_019.csv,1000,1011.1084048537784,11.108404853778438,1998.3864421416235,3009.494846995402,2.0,1,7000,1000,5000,2026-07-30T19:23:09.991097+00:00
20,20,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\1000ns\attempt_020.csv,1000,1011.5312311164125,11.531231116412528,1999.2517603294805,3010.782991445893,2.0,1,7000,1000,5000,2026-07-30T19:23:10.033148+00:00
21,21,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_2_extref_to_mircat\raw\1000ns\attempt_021.csv,1000,1011.7653189033349,11.7653189033349,1998.5489570878171,3010.314275991152,2.0,1,7000,1000,5000,2026-07-30T19:23:10.082656+00:00
