attempt,accepted_index,status,reason,raw_path,programmed_delay_ns,measured_separation_ns,residual_ns,reference_edge_time_ns,target_edge_time_ns,sample_interval_ns,timebase,total_samples,pre_trigger_samples,threshold_adc,captured_utc
1,1,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\0ns\attempt_001.csv,0,0.4099880431854217,0.4099880431854217,1999.0848589522166,1999.494846995402,2.0,1,11000,1000,5000,2026-07-30T19:49:59.069992+00:00
2,2,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\0ns\attempt_002.csv,0,0.10479558381939569,0.10479558381939569,1998.5386169588737,1998.643412542693,2.0,1,11000,1000,5000,2026-07-30T19:49:59.311934+00:00
3,3,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\0ns\attempt_003.csv,0,0.14136568028357033,0.14136568028357033,1998.3162874521288,1998.4576531324124,2.0,1,11000,1000,5000,2026-07-30T19:49:59.364596+00:00
4,4,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\0ns\attempt_004.csv,0,0.277523264937372,0.277523264937372,1998.856467593855,1999.1339908587925,2.0,1,11000,1000,5000,2026-07-30T19:49:59.422360+00:00
5,5,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\0ns\attempt_005.csv,0,0.09427472311858764,0.09427472311858764,1998.472034010894,1998.5663087340126,2.0,1,11000,1000,5000,2026-07-30T19:49:59.483996+00:00
6,6,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\0ns\attempt_006.csv,0,0.4154864751101286,0.4154864751101286,1998.9546632124352,1999.3701496875453,2.0,1,11000,1000,5000,2026-07-30T19:49:59.543353+00:00
7,7,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\0ns\attempt_007.csv,0,0.09427472311858764,0.09427472311858764,1998.472034010894,1998.5663087340126,2.0,1,11000,1000,5000,2026-07-30T19:49:59.611328+00:00
8,8,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\0ns\attempt_008.csv,0,0.5782718165000915,0.5782718165000915,1999.3560736902705,1999.9343455067706,2.0,1,11000,1000,5000,2026-07-30T19:49:59.668444+00:00
9,9,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\0ns\attempt_009.csv,0,0.0850602720556708,0.0850602720556708,1998.4421266508634,1998.527186922919,2.0,1,11000,1000,5000,2026-07-30T19:49:59.725552+00:00
10,10,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\0ns\attempt_010.csv,0,0.18809932240742455,0.18809932240742455,1998.6943005181347,1998.8823998405421,2.0,1,11000,1000,5000,2026-07-30T19:49:59.780916+00:00
