artifact_id,campaign_id,phase_id,acquisition_id,relative_path,artifact_role,media_type,byte_size,created_utc,modified_utc,producer,source_artifact_ids,immutable,notes
TR01-ART-0001,system_recalibration_001,TR-01,TR01-AUDIT-001,phases/TR-01/acquisition_index.csv,derived_table,text/csv,647,2026-08-18T16:24:24.9869344Z,2026-08-18T16:24:24.9869344Z,Codex_orchestration,,true,"Records-only indexed condition"
TR01-ART-0002,system_recalibration_001,TR-01,TR01-AUDIT-001,phases/TR-01/measurement_resource_register.csv,derived_table,text/csv,7233,2026-08-18T16:24:24.9854072Z,2026-08-18T16:24:24.9854072Z,Codex_orchestration,"P0-PHYSICAL-INVENTORY;P0-DECISIONS-v2026-08-15",true,"Retained resource register"
TR01-ART-0003,system_recalibration_001,TR-01,TR01-AUDIT-001,phases/TR-01/p0_decision_export.csv,derived_table,text/csv,2454,2026-08-18T16:24:24.9864230Z,2026-08-18T16:24:24.9864230Z,Codex_orchestration,P0-DECISIONS-v2026-08-15,true,"All 21 decisions"
TR01-ART-0004,system_recalibration_001,TR-01,TR01-AUDIT-001,phases/TR-01/conditions.csv,derived_table,text/csv,1297,2026-08-18T16:24:24.9879381Z,2026-08-18T16:24:24.9884423Z,Codex_orchestration,MC01-RESTORATION-002,true,"Standing and no-transition conditions"
TR01-ART-0005,system_recalibration_001,TR-01,TR01-AUDIT-001,phases/TR-01/measurements.csv,derived_table,text/csv,892,2026-08-18T16:24:24.9889458Z,2026-08-18T16:24:24.9889458Z,Codex_orchestration,TR01-ART-0002,true,"Closure results"
TR01-ART-0006,system_recalibration_001,TR-01,TR01-AUDIT-001,phases/TR-01/exclusions.csv,derived_table,text/csv,1253,2026-08-18T16:24:24.9889458Z,2026-08-18T16:24:24.9899504Z,Codex_orchestration,P0-DECISIONS-v2026-08-15,true,"Explicit nonapplicable and excluded work"
TR01-ART-0007,system_recalibration_001,TR-01,TR01-AUDIT-001,phases/TR-01/calibration_links.csv,derived_table,text/csv,2938,2026-08-18T16:24:24.9904535Z,2026-08-18T16:24:24.9904535Z,Codex_orchestration,"MS01-PICO-PATH;MS02-PICO-SPLITTER-PATH;T201-INSTALLED-ROUTES;T101-INSTALLED-ROUTES;PT01-PROCESS-TRIGGER-TIMING;CH00-ART-014;MC01-CLOSEOUT-001",true,"Stable imports without reacquisition"
TR01-ART-0008,system_recalibration_001,TR-01,TR01-AUDIT-001,phases/TR-01/source_provenance_index.csv,derived_table,text/csv,2206,2026-08-18T16:24:24.9909562Z,2026-08-18T16:24:24.9909562Z,Codex_orchestration,,true,"Source and provenance index"
TR01-ART-0009,system_recalibration_001,TR-01,TR01-AUDIT-001,phases/TR-01/uncertainty_ambiguity.md,analysis_document,text/markdown,2082,2026-08-18T16:24:24.9919602Z,2026-08-18T16:24:24.9919602Z,Codex_orchestration,TR01-ART-0002,true,"Applicability and limitation statement"
TR01-ART-0010,system_recalibration_001,TR-01,TR01-AUDIT-001,phases/TR-01/unresolved_inputs.md,analysis_document,text/markdown,2002,2026-08-18T16:24:24.9931419Z,2026-08-18T16:24:24.9931419Z,Codex_orchestration,P0-DECISIONS-v2026-08-15,true,"Blocking nonblocking excluded and deferred classifications"
TR01-RESTORATION-001,system_recalibration_001,TR-01,TR01-AUDIT-001,phases/TR-01/restoration_confirmation.json,readback,application/json,847,2026-08-18T16:24:24.9941465Z,2026-08-18T16:24:24.9941465Z,Codex_orchestration,"MC01-RESTORATION-002;MC01-ART-0071",true,"No physical transition"
TR01-ART-0012,system_recalibration_001,TR-01,TR01-AUDIT-001,phases/TR-01/command_log.txt,log,text/plain,434,2026-08-18T16:24:24.9941465Z,2026-08-18T16:24:24.9951949Z,Codex_orchestration,,true,"No hardware commands"
TR01-ART-0013,system_recalibration_001,TR-01,TR01-AUDIT-001,phases/TR-01/final_report.md,report,text/markdown,3261,2026-08-18T16:24:24.9951949Z,2026-08-18T16:24:24.9961996Z,Codex_orchestration,"TR01-ART-0002;TR01-ART-0003;TR01-ART-0007",true,"Final acceptance and boundary"
TR01-ART-0014,system_recalibration_001,TR-01,TR01-AUDIT-001,phases/TR-01/README.md,analysis_document,text/markdown,700,2026-08-18T16:24:24.9823579Z,2026-08-18T16:24:24.9828668Z,Codex_orchestration,TR01-ART-0013,true,"Phase summary"
TR01-ART-0015,system_recalibration_001,TR-01,TR01-AUDIT-001,phases/TR-01/phase_manifest.json,readback,application/json,3053,2026-08-18T16:24:49.7272743Z,2026-08-18T16:24:49.7278114Z,Codex_orchestration,,true,"Schema 1.0.0 manifest"
TR01-ART-0016,system_recalibration_001,TR-01,TR01-AUDIT-001,phases/TR-01/retention_audit.md,analysis_document,text/markdown,1243,2026-08-18T16:25:41.8200391Z,2026-08-18T16:25:41.8210391Z,Codex_orchestration,"TR01-ART-0001;TR01-ART-0002;TR01-ART-0007",true,"Mandatory retention audit PASS"
