campaign_id,phase_id,phase_run_id,calibration_bundle_id,calibration_quantity_id,source_campaign_id,source_phase_id,source_artifact_id,value_used,unit,standard_uncertainty,validity_status,notes
system_characterization_001,CH-00,system_characterization_001_CH-00_001,CAL-system_recalibration_001-WORKING-EVIDENCE,P0-FINAL-REQUIREMENT-DECISIONS,system_recalibration_001,P0,p0_requirement_decisions.md,,, ,VALID_FINAL_DECISION,Imported dispositions only
system_characterization_001,CH-00,system_characterization_001_CH-00_001,CAL-system_recalibration_001-WORKING-EVIDENCE,MS01-PICO-CHANNEL-PATH-SKEW,system_recalibration_001,MS-01,ms01_results.json,,, ,VALID_COMPLETED_UNPROMOTED,Later IR-01 import; no reacquisition
system_characterization_001,CH-00,system_characterization_001_CH-00_001,CAL-system_recalibration_001-WORKING-EVIDENCE,MS02-SPLITTER-AND-PATH-CORRECTIONS,system_recalibration_001,MS-02,ms02_results.json,,, ,VALID_COMPLETED_UNPROMOTED,Later IR-01 import; no reacquisition
system_characterization_001,CH-00,system_characterization_001_CH-00_001,CAL-system_recalibration_001-WORKING-EVIDENCE,T2-01-DIRECT-ROUTES,system_recalibration_001,T2-01,t2_01_results.json,,, ,VALID_COMPLETED_UNPROMOTED,Immutable completed evidence
system_characterization_001,CH-00,system_characterization_001_CH-00_001,CAL-system_recalibration_001-WORKING-EVIDENCE,T1-01-DIRECT-ROUTES,system_recalibration_001,T1-01,t1_01_results.json,,, ,VALID_COMPLETED_UNPROMOTED,Immutable completed evidence
system_characterization_001,CH-00,system_characterization_001_CH-00_001,CAL-system_recalibration_001-WORKING-EVIDENCE,PT01-PROCESS-TRIGGER-TIMING,system_recalibration_001,PT-01,final_report.md,,, ,PENDING_PHASE_CLOSE,Required before E2E-CH; CH-00 scope closure does not depend on numeric value
system_characterization_001,CH-00,system_characterization_001_CH-00_001,CAL-system_recalibration_001-FUTURE,OM01-AVERAGE-POWER-METROLOGY,system_recalibration_001,OM-01,optical_metrology_bundle.json,,, ,PENDING_REQUIRED,Used ranges and retained anchors only
system_characterization_001,CH-00,system_characterization_001_CH-00_001,CAL-system_recalibration_001-FUTURE,ATT01-TRANSFER,system_recalibration_001,ATT-01,attenuation_bundle.json,,, ,PENDING_REQUIRED,Used optics only
system_characterization_001,CH-00,system_characterization_001_CH-00_001,CAL-system_recalibration_001-FUTURE,HF01-ACQUISITION,system_recalibration_001,HF-01,hf_configuration_bundle.json,,, ,PENDING_REQUIRED,Two retained topologies only
system_characterization_001,CH-00,system_characterization_001_CH-00_001,CAL-system_recalibration_001-FUTURE,SP02-SPECTRAL-AXIS,system_recalibration_001,SP-02,spectral_axis_bundle.json,,, ,PENDING_REQUIRED,Two retained probe regions only
system_characterization_001,CH-00,system_characterization_001_CH-00_001,CAL-system_recalibration_001-FUTURE,OP01-PUMP-TIMING,system_recalibration_001,OP-01,optical_timing_bundle.json,,, ,PENDING_REQUIRED,Exactly direct 532 and OPO 540 paths
system_characterization_001,CH-00,system_characterization_001_CH-00_001,CAL-system_recalibration_001-FUTURE,FE01-EVENT-ADMISSION,system_recalibration_001,FE-01,finite_event_bundle.json,,, ,PENDING_REQUIRED,Finite event and no-emission fault paths
system_characterization_001,CH-00,system_characterization_001_CH-00_001,CAL-system_recalibration_001-FUTURE,CL01-TIMING-CLOSURE,system_recalibration_001,CL-01,timing_closure_bundle.json,,, ,PENDING_REQUIRED,Two paths and longest recovery bridge
