anchor,acquisition_id,label,commanded_offset_hz,observed_frequency_hz,measured_magnitude,predicted_magnitude,magnitude_residual,magnitude_threshold,magnitude_pass,measured_phase_deg,predicted_phase_deg,phase_residual_deg,phase_threshold_deg,phase_pass,complex_standard_uncertainty
fast,HF01-ANCHOR-FAST-V3-001,offset_1,3980.0,3980.0708235701472,0.995054607744933,0.9950341754600901,2.0432284842941684e-05,0.05,True,-5.712034368179648,-5.712328814196198,0.0002944460165499257,5.0,True,3.057584341210459e-05
fast,HF01-ANCHOR-FAST-V3-001,offset_2,39800.0,39800.30536228525,0.7070124535000061,0.7070021945295464,1.0258970459697814e-05,0.05,True,-45.010563315515505,-45.00847387003875,-0.00208944547675496,5.0,True,1.066918358592117e-05
fast,HF01-ANCHOR-FAST-V3-001,offset_3,199000.0,199001.4199039402,0.1961463678778496,0.19606046491557977,8.59029622698182e-05,0.05,True,-78.69185097982977,-78.6933203442049,0.0014693643751398492,5.0,True,7.182950772517732e-06
intermediate,HF01-ANCHOR-INTERMEDIATE-V3-001,offset_1,6.92,6.909503512626641,0.9961646709802127,0.9962269610203986,-6.229004018598605e-05,0.05,True,-9.957127467842161,-9.962197862877856,0.005070395035693953,5.0,True,0.0010908075673859495
intermediate,HF01-ANCHOR-INTERMEDIATE-V3-001,offset_2,69.2,69.19223673484154,0.706437041783142,0.7064970807992903,-6.0039016148261126e-05,0.05,True,-94.17793154205786,-94.1457467799981,-0.03218476205976469,5.0,True,0.0013442870114629302
intermediate,HF01-ANCHOR-INTERMEDIATE-V3-001,offset_3,346.0,346.00219488642887,0.030264825827722934,0.03030761529374344,-4.2789466020504846e-05,0.05,True,98.72996736502492,98.64232320191951,0.08764416310541288,5.0,True,0.0003102551004870205
intermediate,HF01-ANCHOR-INTERMEDIATE-V3-001,offset_4,-69.2,-69.21539054724218,0.706331557838616,0.7063462787458571,-1.4720907241083658e-05,0.05,True,94.1545704971738,94.17382286143454,-0.01925236426075272,5.0,True,0.0014177033393943724
slow,HF01-ANCHOR-SLOW-V3-R1-001,offset_1,0.0479,0.019827073481245315,0.990222012281729,0.9996857760310562,-0.009463763749327225,0.05,True,-2.966627510417738,-4.062875890863301,1.096248380445563,5.0,True,0.009420202503441036
slow,HF01-ANCHOR-SLOW-V3-R1-001,offset_2,0.479,0.48293835916505634,0.8288861621153657,0.8333957312803497,-0.0045095691649840175,0.05,True,-95.98227485019177,-97.46804822113455,1.4857733709427745,5.0,True,0.007702503262136963
slow,HF01-ANCHOR-SLOW-V3-R1-001,offset_3,2.395,2.3782765536662396,0.04802565404843878,0.04853673917582298,-0.0005110851273841949,0.05,True,-14.366122049953425,-14.047402104608606,-0.3187199453448203,5.0,True,0.0006208252177248045
