artifact_id,campaign_id,phase_id,acquisition_id,relative_path,artifact_role,media_type,byte_size,created_utc,modified_utc,producer,source_artifact_ids,immutable,notes
MC01-ART-0001,system_recalibration_001,MC-01,,phases/MC-01/acquisition_index.csv,derived_table,application/vnd.ms-excel,4973,2026-08-17T18:18:11.490242Z,2026-08-17T22:44:06.013502Z,MC-01 controlled execution,,true,Indexed by stable ID; no hash or checksum operational gate
MC01-ART-0002,system_recalibration_001,MC-01,,phases/MC-01/action_ledger.csv,derived_table,application/vnd.ms-excel,17504,2026-08-17T18:18:11.489233Z,2026-08-17T22:44:06.018720Z,MC-01 controlled execution,,true,Indexed by stable ID; no hash or checksum operational gate
MC01-ART-0027,system_recalibration_001,MC-01,,phases/MC-01/apply_continuation_safe_idle.py,analysis_source,text/x-python,2375,2026-08-17T20:34:22.126364Z,2026-08-17T20:34:22.127386Z,MC-01 controlled execution,,true,Indexed by stable ID; no hash or checksum operational gate
MC01-ART-0003,system_recalibration_001,MC-01,,phases/MC-01/apply_final_t660_safe_idle.py,analysis_source,text/x-python,2264,2026-08-17T20:23:47.514910Z,2026-08-17T20:23:47.515971Z,MC-01 controlled execution,,true,Indexed by stable ID; no hash or checksum operational gate
MC01-ART-0033,system_recalibration_001,MC-01,,phases/MC-01/apply_resumed_final_safe_idle.py,analysis_source,text/x-python,2162,2026-08-17T22:31:23.622531Z,2026-08-17T22:31:23.622531Z,MC-01 controlled execution,,true,Indexed by stable ID; no hash or checksum operational gate
MC01-SOURCE-001,system_recalibration_001,MC-01,,phases/MC-01/apply_t660_safe_idle.py,analysis_source,text/x-python,2317,2026-08-17T19:49:45.394891Z,2026-08-17T19:49:45.395892Z,Codex,,true,Focused T660-only safe-idle utility; never connects to MIRcat
MC01-SOURCE-002,system_recalibration_001,MC-01,,phases/MC-01/apply_t660_safe_idle_after_config.py,analysis_source,text/x-python,2331,2026-08-17T20:05:15.577440Z,2026-08-17T20:05:15.580946Z,Codex,,true,Focused T660-only safe-idle utility after GUI configuration
MC01-ART-0004,system_recalibration_001,MC-01,,phases/MC-01/artifacts.csv,derived_table,application/vnd.ms-excel,27884,2026-08-17T18:18:11.497238Z,2026-08-17T22:44:49.770425Z,MC-01 controlled execution,,true,Indexed by stable ID; no hash or checksum operational gate
MC01-ART-0005,system_recalibration_001,MC-01,,phases/MC-01/build_closeout_indexes.py,analysis_source,text/x-python,3524,2026-08-17T20:25:27.731609Z,2026-08-17T20:25:27.731609Z,MC-01 controlled execution,,true,Indexed by stable ID; no hash or checksum operational gate
MC01-ART-0006,system_recalibration_001,MC-01,,phases/MC-01/calibration_links.csv,derived_table,application/vnd.ms-excel,1442,2026-08-17T18:18:11.495238Z,2026-08-17T18:19:04.425453Z,MC-01 controlled execution,,true,Indexed by stable ID; no hash or checksum operational gate
MC01-ART-0034,system_recalibration_001,MC-01,,phases/MC-01/capture_dio_and_trigger.py,analysis_source,text/x-python,4690,2026-08-17T22:07:54.728940Z,2026-08-17T22:25:33.467449Z,MC-01 controlled execution,,true,Indexed by stable ID; no hash or checksum operational gate
MC01-ART-0035,system_recalibration_001,MC-01,,phases/MC-01/capture_raw_dio_and_trigger.py,analysis_source,text/x-python,4473,2026-08-17T22:27:52.828596Z,2026-08-17T22:27:52.828596Z,MC-01 controlled execution,,true,Indexed by stable ID; no hash or checksum operational gate
MC01-ART-0007,system_recalibration_001,MC-01,,phases/MC-01/command_log.txt,log,text/plain,73,2026-08-17T18:18:11.497238Z,2026-08-17T18:18:11.497238Z,MC-01 controlled execution,,true,Indexed by stable ID; no hash or checksum operational gate
MC01-ART-0008,system_recalibration_001,MC-01,,phases/MC-01/conditions.csv,derived_table,application/vnd.ms-excel,5170,2026-08-17T18:18:11.493239Z,2026-08-17T22:44:06.016562Z,MC-01 controlled execution,,true,Indexed by stable ID; no hash or checksum operational gate
MC01-ART-0028,system_recalibration_001,MC-01,,phases/MC-01/continuation_authorization.md,analysis_document,application/octet-stream,1833,2026-08-17T20:32:59.551603Z,2026-08-17T20:32:59.552114Z,MC-01 controlled execution,,true,Indexed by stable ID; no hash or checksum operational gate
MC01-ART-0029,system_recalibration_001,MC-01,,phases/MC-01/continuation_safe_idle_command_log.txt,log,text/plain,13397,2026-08-17T20:34:25.441178Z,2026-08-17T20:34:31.177700Z,MC-01 controlled execution,,true,Indexed by stable ID; no hash or checksum operational gate
MC01-ART-0030,system_recalibration_001,MC-01,,phases/MC-01/continuation_safe_idle_readback.json,readback,application/json,10858,2026-08-17T20:34:31.426217Z,2026-08-17T20:34:31.426720Z,MC-01 controlled execution,,true,Indexed by stable ID; no hash or checksum operational gate
MC01-ART-0031,system_recalibration_001,MC-01,,phases/MC-01/continuation_safe_idle_status.json,readback,application/json,645,2026-08-17T20:34:25.431290Z,2026-08-17T20:34:31.428436Z,MC-01 controlled execution,,true,Indexed by stable ID; no hash or checksum operational gate
