2026-08-17T22:30:43+00:00 mircat loaded MIRcat SDK C:\Users\Chris\Documents\GitHub\Control_System\docs\MIRcat\SDK\bin\MIRcatSDK.dll
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_Initialize -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_IsConnectedToLaser -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_GetAPIVersion -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_GetNumInstalledQcls -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_IsInterlockedStatusSet -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_IsKeySwitchStatusSet -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_IsLaserArmed -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_AreTECsAtSetTemperature -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_IsTuned -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_GetTuneWW -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_GetActualWW -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_IsEmissionOn -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_GetScanStatus -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_GetScanWaitingProcessTrigger -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_GetStatusMask -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_GetActiveQcl -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_GetQCLPulseRate -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_GetQCLPulseWidth -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_GetSystemErrorWord -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_GetWlTrigParams -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_SetWlTrigParams -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_GetWlTrigParams -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_SetWlTrigParams -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_GetWlTrigParams -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_IsConnectedToLaser -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_GetAPIVersion -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_GetNumInstalledQcls -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_IsInterlockedStatusSet -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_IsKeySwitchStatusSet -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_IsLaserArmed -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_AreTECsAtSetTemperature -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_IsTuned -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_GetTuneWW -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_GetActualWW -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_IsEmissionOn -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_GetScanStatus -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_GetScanWaitingProcessTrigger -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_GetStatusMask -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_GetActiveQcl -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_GetQCLPulseRate -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_GetQCLPulseWidth -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_GetSystemErrorWord -> 0 (SUCCESS)
2026-08-17T22:31:00+00:00 mircat MIRcatSDK_DeInitialize -> 0 (SUCCESS)
