attempt,accepted_index,status,reason,raw_path,measured_separation_ns,sample_interval_ns,threshold_adc,captured_utc
1,1,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-02\reconnection_normal\raw\attempt_001.csv,0.09171959694344878,2.0,5000,2026-07-29T23:47:09.419751+00:00
2,2,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-02\reconnection_normal\raw\attempt_002.csv,0.09677494952006782,2.0,5000,2026-07-29T23:47:09.783337+00:00
3,3,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-02\reconnection_normal\raw\attempt_003.csv,0.21205036082142215,2.0,5000,2026-07-29T23:47:09.956988+00:00
4,4,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-02\reconnection_normal\raw\attempt_004.csv,0.10253416731279685,2.0,5000,2026-07-29T23:47:10.120203+00:00
5,5,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-02\reconnection_normal\raw\attempt_005.csv,0.1667196489536309,2.0,5000,2026-07-29T23:47:10.286838+00:00
6,6,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-02\reconnection_normal\raw\attempt_006.csv,0.08657628887749524,2.0,5000,2026-07-29T23:47:10.455421+00:00
7,7,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-02\reconnection_normal\raw\attempt_007.csv,0.1569003694676212,2.0,5000,2026-07-29T23:47:10.630455+00:00
8,8,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-02\reconnection_normal\raw\attempt_008.csv,0.20977915809362457,2.0,5000,2026-07-29T23:47:10.797228+00:00
9,9,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-02\reconnection_normal\raw\attempt_009.csv,0.09147029419546016,2.0,5000,2026-07-29T23:47:10.971453+00:00
10,10,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-02\reconnection_normal\raw\attempt_010.csv,0.03274510820801879,2.0,5000,2026-07-29T23:47:11.150614+00:00
