campaign_id,phase_id,acquisition_id,result_set_id,quantity_name,value,unit,statistic,reference_plane,sign_convention,correction_state,standard_uncertainty,coverage_factor,expanded_uncertainty,quality_flag,analysis_artifact_id,notes
system_recalibration_001,OM-01,OM01-USB-DIAG-001,OM01-RESULT-USB-IDENTITY,power_meter_usb_communication,1,bool,observed,device interface,not_applicable,bounded,,,,PASS,OM01-RAW-USB-0001,Open query and close passed
system_recalibration_001,OM-01,OM01-USB-DIAG-001,OM01-RESULT-USB-IDENTITY,sensor_identity_match,1,bool,observed,device interface,not_applicable,bounded,,,,PASS,OM01-RAW-USB-0001,Live model/serial match uploaded certificate
system_recalibration_001,OM-01,OM01-USB-DIAG-001,OM01-RESULT-USB-IDENTITY,minimum_calibrated_wavelength,190,nm,readback,sensor EEPROM,not_applicable,raw,,,,PROVISIONAL,OM01-RAW-USB-0001,Validity still requires OM-01 checks
system_recalibration_001,OM-01,OM01-USB-DIAG-001,OM01-RESULT-USB-IDENTITY,maximum_calibrated_wavelength,11000,nm,readback,sensor EEPROM,not_applicable,raw,,,,PROVISIONAL,OM01-RAW-USB-0001,Validity still requires OM-01 checks
system_recalibration_001,OM-01,OM01-INSP-001,OM01-RESULT-INSP,sensor_visual_condition_pass,1,bool,operator_observation,sensor head,not_applicable,bounded,,,,PASS,OM01-ART-0022,No visible absorber housing connector or cable defect
system_recalibration_001,OM-01,OM01-DARK-PREVIEW-001,OM01-RESULT-DARK-PREVIEW,covered_power_preview,-0.0162939,W,single_reading,sensor plane,positive_is_incident_power,raw,,,,SUPERSEDED_UNFILTERED_PREVIEW,OM01-RAW-DARK-0001,Range 0 later confirmed as most sensitive 3.868 W range; preview superseded by filtered baseline
system_recalibration_001,OM-01,OM01-DARK-PREVIEW-002,OM01-RESULT-DARK-PREVIEW,covered_power_preview_zero_removed,-0.01504746,W,single_reading,sensor plane,positive_is_incident_power,raw,,,,SUPERSEDED_UNFILTERED_PREVIEW,OM01-RAW-DARK-0002,Stored zero confirmed 0 W; preview superseded by filtered baseline
system_recalibration_001,OM-01,OM01-DARK-PREZERO-001,OM01-RESULT-DARK-PREZERO,covered_prezero_mean,-0.016539046,W,mean,sensor plane,positive_is_incident_power,raw,0.000009453,,,PASS,OM01-RAW-DARK-0003,"Standard uncertainty is sample SD/sqrt(30); zero not yet stored"
system_recalibration_001,OM-01,OM01-DARK-PREZERO-001,OM01-RESULT-DARK-PREZERO,covered_prezero_repeatability,0.0000517823,W,sample_standard_deviation,sensor plane,positive_is_incident_power,raw,,,,PASS,OM01-RAW-DARK-0003,Observed below manufacturer 0.2 mW power-noise specification
system_recalibration_001,OM-01,OM01-DARK-PREZERO-001,OM01-RESULT-DARK-PREZERO,covered_prezero_segment_drift,0.000064518,W,last10_mean_minus_first10_mean,sensor plane,positive_is_incident_power,raw,,,,PASS,OM01-RAW-DARK-0003,Stable enough for zero gate
