attempt,accepted_index,status,reason,raw_path,programmed_delay_ns,measured_separation_ns,residual_ns,reference_edge_time_ns,target_edge_time_ns,sample_interval_ns,timebase,total_samples,pre_trigger_samples,threshold_adc,captured_utc
1,1,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\PT-01\setup_1_fire_to_process_trigger\raw\1000ns\attempt_001.csv,1000,1001.2326406520588,1.2326406520587625,71976.48480590199,72977.71744655404,72.0,11,141000,1000,5000,2026-08-17T17:00:55.839339+00:00
2,2,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\PT-01\setup_1_fire_to_process_trigger\raw\1000ns\attempt_002.csv,1000,997.1526482775662,-2.847351722433814,71996.103626943,72993.25627522057,72.0,11,141000,1000,5000,2026-08-17T17:00:56.264445+00:00
3,3,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\PT-01\setup_1_fire_to_process_trigger\raw\1000ns\attempt_003.csv,1000,1009.6580708732945,9.658070873294491,71972.69541749879,72982.35348837209,72.0,11,141000,1000,5000,2026-08-17T17:00:56.667865+00:00
4,4,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\PT-01\setup_1_fire_to_process_trigger\raw\1000ns\attempt_004.csv,1000,1006.0330258160539,6.033025816053851,71974.89500509684,72980.9280309129,72.0,11,141000,1000,5000,2026-08-17T17:00:57.081317+00:00
5,5,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\PT-01\setup_1_fire_to_process_trigger\raw\1000ns\attempt_005.csv,1000,974.3098828400834,-25.690117159916554,71978.18314041573,72952.49302325581,72.0,11,141000,1000,5000,2026-08-17T17:00:57.485532+00:00
6,6,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\PT-01\setup_1_fire_to_process_trigger\raw\1000ns\attempt_006.csv,1000,1004.690354407503,4.690354407503037,71974.89500509684,72979.58535950434,72.0,11,141000,1000,5000,2026-08-17T17:00:57.880548+00:00
7,7,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\PT-01\setup_1_fire_to_process_trigger\raw\1000ns\attempt_007.csv,1000,999.5343061383173,-0.46569386168266647,71978.18314041573,72977.71744655404,72.0,11,141000,1000,5000,2026-08-17T17:00:58.284266+00:00
8,8,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\PT-01\setup_1_fire_to_process_trigger\raw\1000ns\attempt_008.csv,1000,1005.7497062421462,5.749706242146203,71973.40615232769,72979.15585856984,72.0,11,141000,1000,5000,2026-08-17T17:00:58.669880+00:00
9,9,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\PT-01\setup_1_fire_to_process_trigger\raw\1000ns\attempt_009.csv,1000,992.2307044395275,-7.7692955604725285,71977.31935675998,72969.55006119951,72.0,11,141000,1000,5000,2026-08-17T17:00:59.083358+00:00
10,10,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\PT-01\setup_1_fire_to_process_trigger\raw\1000ns\attempt_010.csv,1000,995.6455392527278,-4.354460747272242,71977.31935675998,72972.96489601271,72.0,11,141000,1000,5000,2026-08-17T17:00:59.487951+00:00
