attempt,accepted_index,status,reason,raw_path,programmed_delay_ns,measured_separation_ns,residual_ns,reference_edge_time_ns,target_edge_time_ns,sample_interval_ns,timebase,total_samples,pre_trigger_samples,threshold_adc,captured_utc
1,1,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\1000ns\attempt_001.csv,1000,1057.243720126923,57.24372012692311,1998.2136442141623,3055.4573643410854,2.0,1,12000,1000,5000,2026-08-08T21:55:15.033114+00:00
2,2,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\1000ns\attempt_002.csv,1000,1057.1808089843764,57.18080898437643,1998.5309844559586,3055.711793440335,2.0,1,12000,1000,5000,2026-08-08T21:55:15.189320+00:00
3,3,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\1000ns\attempt_003.csv,1000,1057.5360869319998,57.53608693199976,1998.649959579628,3056.186046511628,2.0,1,12000,1000,5000,2026-08-08T21:55:15.288198+00:00
4,4,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\1000ns\attempt_004.csv,1000,1057.6516082833007,57.651608283300675,1998.7938326733508,3056.4454409566515,2.0,1,12000,1000,5000,2026-08-08T21:55:15.398017+00:00
5,5,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\1000ns\attempt_005.csv,1000,1057.6805214510525,57.68052145105253,1999.04992199688,3056.7304434479324,2.0,1,12000,1000,5000,2026-08-08T21:55:15.498928+00:00
6,6,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\1000ns\attempt_006.csv,1000,1057.660141216384,57.66014121638409,1999.4793531166588,3057.139494333043,2.0,1,12000,1000,5000,2026-08-08T21:55:15.606180+00:00
7,7,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\1000ns\attempt_007.csv,1000,1057.5122059047183,57.51220590471826,1999.6272884283246,3057.139494333043,2.0,1,12000,1000,5000,2026-08-08T21:55:15.705376+00:00
8,8,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\1000ns\attempt_008.csv,1000,1057.7256327537264,57.72563275372636,1998.7938326733508,3056.519465427077,2.0,1,12000,1000,5000,2026-08-08T21:55:15.800093+00:00
9,9,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\1000ns\attempt_009.csv,1000,1057.7813274175662,57.78132741756622,1998.6641135390853,3056.4454409566515,2.0,1,12000,1000,5000,2026-08-08T21:55:15.898735+00:00
10,10,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\1000ns\attempt_010.csv,1000,1057.3705659316386,57.370565931638566,1998.5309844559586,3055.901550387597,2.0,1,12000,1000,5000,2026-08-08T21:55:16.005320+00:00
11,11,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\1000ns\attempt_011.csv,1000,1057.170314165228,57.17031416522809,1998.2191319751994,3055.3894461404275,2.0,1,12000,1000,5000,2026-08-08T21:55:16.104344+00:00
12,12,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\1000ns\attempt_012.csv,1000,1057.8393543762675,57.839354376267465,1999.04992199688,3056.8892763731474,2.0,1,12000,1000,5000,2026-08-08T21:55:16.194984+00:00
13,13,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\1000ns\attempt_013.csv,1000,1057.2426848848033,57.24268488480334,1998.4371600764368,3055.67984496124,2.0,1,12000,1000,5000,2026-08-08T21:55:16.302003+00:00
14,14,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\1000ns\attempt_014.csv,1000,1057.7145217660532,57.71452176605317,1999.301920685367,3057.01644245142,2.0,1,12000,1000,5000,2026-08-08T21:55:16.398521+00:00
15,15,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\1000ns\attempt_015.csv,1000,1057.3306350162673,57.33063501626725,1998.5709153713299,3055.901550387597,2.0,1,12000,1000,5000,2026-08-08T21:55:16.494606+00:00
16,16,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\1000ns\attempt_016.csv,1000,1057.7145217660532,57.71452176605317,1999.301920685367,3057.01644245142,2.0,1,12000,1000,5000,2026-08-08T21:55:16.605024+00:00
17,17,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\1000ns\attempt_017.csv,1000,1057.1586555656927,57.1586555656927,1998.2987087753927,3055.4573643410854,2.0,1,12000,1000,5000,2026-08-08T21:55:16.706022+00:00
18,18,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\1000ns\attempt_018.csv,1000,1057.5219329725426,57.52193297254257,1998.6641135390853,3056.186046511628,2.0,1,12000,1000,5000,2026-08-08T21:55:16.804750+00:00
19,19,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\1000ns\attempt_019.csv,1000,1057.4785298036606,57.47852980366065,1998.7075167079672,3056.186046511628,2.0,1,12000,1000,5000,2026-08-08T21:55:16.897437+00:00
20,20,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\1000ns\attempt_020.csv,1000,1057.8393543762675,57.839354376267465,1999.04992199688,3056.8892763731474,2.0,1,12000,1000,5000,2026-08-08T21:55:16.996539+00:00
21,21,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\1000ns\attempt_021.csv,1000,1057.6516082833007,57.651608283300675,1998.7938326733508,3056.4454409566515,2.0,1,12000,1000,5000,2026-08-08T21:55:17.106583+00:00
22,22,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\1000ns\attempt_022.csv,1000,1057.3410644474593,57.3410644474593,1998.2987087753927,3055.639773222852,2.0,1,12000,1000,5000,2026-08-08T21:55:17.206466+00:00
23,23,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\1000ns\attempt_023.csv,1000,1057.6805214510525,57.68052145105253,1999.04992199688,3056.7304434479324,2.0,1,12000,1000,5000,2026-08-08T21:55:17.310253+00:00
24,24,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\1000ns\attempt_024.csv,1000,1057.7732149606827,57.77321496068271,1998.9572284872497,3056.7304434479324,2.0,1,12000,1000,5000,2026-08-08T21:55:17.392791+00:00
25,25,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\1000ns\attempt_025.csv,1000,1057.631796742489,57.63179674248909,1998.8136442141624,3056.4454409566515,2.0,1,12000,1000,5000,2026-08-08T21:55:17.501856+00:00
