attempt,accepted_index,status,reason,raw_path,programmed_delay_ns,measured_separation_ns,residual_ns,reference_edge_time_ns,target_edge_time_ns,sample_interval_ns,timebase,total_samples,pre_trigger_samples,threshold_adc,captured_utc
1,,REJECTED,negative pulse lacks active or return threshold crossing,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\0ns\attempt_001.csv,0,,,,,2.0,1,11000,1000,5000,2026-08-08T21:42:32.149105+00:00
2,,REJECTED,negative pulse lacks active or return threshold crossing,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\0ns\attempt_002.csv,0,,,,,2.0,1,11000,1000,5000,2026-08-08T21:42:32.407476+00:00
3,,REJECTED,negative pulse lacks active or return threshold crossing,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\0ns\attempt_003.csv,0,,,,,2.0,1,11000,1000,5000,2026-08-08T21:42:32.508517+00:00
4,,REJECTED,negative pulse lacks active or return threshold crossing,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\0ns\attempt_004.csv,0,,,,,2.0,1,11000,1000,5000,2026-08-08T21:42:32.610769+00:00
5,,REJECTED,negative pulse lacks active or return threshold crossing,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\0ns\attempt_005.csv,0,,,,,2.0,1,11000,1000,5000,2026-08-08T21:42:32.694546+00:00
6,,REJECTED,negative pulse lacks active or return threshold crossing,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\0ns\attempt_006.csv,0,,,,,2.0,1,11000,1000,5000,2026-08-08T21:42:32.800294+00:00
7,,REJECTED,negative pulse lacks active or return threshold crossing,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\0ns\attempt_007.csv,0,,,,,2.0,1,11000,1000,5000,2026-08-08T21:42:32.894087+00:00
8,,REJECTED,negative pulse lacks active or return threshold crossing,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\0ns\attempt_008.csv,0,,,,,2.0,1,11000,1000,5000,2026-08-08T21:42:33.000328+00:00
9,,REJECTED,negative pulse lacks active or return threshold crossing,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\0ns\attempt_009.csv,0,,,,,2.0,1,11000,1000,5000,2026-08-08T21:42:33.094420+00:00
10,,REJECTED,negative pulse lacks active or return threshold crossing,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\0ns\attempt_010.csv,0,,,,,2.0,1,11000,1000,5000,2026-08-08T21:42:33.202080+00:00
11,,REJECTED,negative pulse lacks active or return threshold crossing,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\0ns\attempt_011.csv,0,,,,,2.0,1,11000,1000,5000,2026-08-08T21:42:33.298162+00:00
12,,REJECTED,negative pulse lacks active or return threshold crossing,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\0ns\attempt_012.csv,0,,,,,2.0,1,11000,1000,5000,2026-08-08T21:42:33.402106+00:00
13,,REJECTED,negative pulse lacks active or return threshold crossing,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\0ns\attempt_013.csv,0,,,,,2.0,1,11000,1000,5000,2026-08-08T21:42:33.501609+00:00
14,,REJECTED,negative pulse lacks active or return threshold crossing,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\0ns\attempt_014.csv,0,,,,,2.0,1,11000,1000,5000,2026-08-08T21:42:33.594445+00:00
15,,REJECTED,negative pulse lacks active or return threshold crossing,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\0ns\attempt_015.csv,0,,,,,2.0,1,11000,1000,5000,2026-08-08T21:42:33.702930+00:00
16,,REJECTED,negative pulse lacks active or return threshold crossing,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_1_extref_to_fire\raw\0ns\attempt_016.csv,0,,,,,2.0,1,11000,1000,5000,2026-08-08T21:42:33.797597+00:00
