attempt,accepted_index,status,reason,raw_path,programmed_delay_ns,measured_separation_ns,residual_ns,reference_edge_time_ns,target_edge_time_ns,sample_interval_ns,timebase,total_samples,pre_trigger_samples,threshold_adc,captured_utc
1,1,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\0ns\attempt_001.csv,0,-0.0015021890187654208,-0.0015021890187654208,1999.6813471502592,1999.6798449612404,2.0,1,11000,1000,5000,2026-08-08T22:33:24.064654+00:00
2,2,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\0ns\attempt_002.csv,0,0.4407372125024267,0.4407372125024267,1998.5757052389176,1999.01644245142,2.0,1,11000,1000,5000,2026-08-08T22:33:24.353268+00:00
3,3,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\0ns\attempt_003.csv,0,0.18474301998367082,0.18474301998367082,1999.7168073676132,1999.901550387597,2.0,1,11000,1000,5000,2026-08-08T22:33:24.453299+00:00
4,4,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\0ns\attempt_004.csv,0,0.610529381050128,0.610529381050128,1998.2417962003453,1998.8523255813955,2.0,1,11000,1000,5000,2026-08-08T22:33:24.561954+00:00
5,5,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\0ns\attempt_005.csv,0,0.4574974439590278,0.4574974439590278,1999.4317789291883,1999.8892763731474,2.0,1,11000,1000,5000,2026-08-08T22:33:24.658112+00:00
6,6,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\0ns\attempt_006.csv,0,0.19459828289245706,0.19459828289245706,1999.7168073676132,1999.9114056505057,2.0,1,11000,1000,5000,2026-08-08T22:33:24.758236+00:00
7,7,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\0ns\attempt_007.csv,0,0.44018774648088765,0.44018774648088765,1998.2902557014513,1998.7304434479322,2.0,1,11000,1000,5000,2026-08-08T22:33:24.853528+00:00
8,8,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\0ns\attempt_008.csv,0,0.4886472475868686,0.4886472475868686,1998.2417962003453,1998.7304434479322,2.0,1,11000,1000,5000,2026-08-08T22:33:24.958053+00:00
9,9,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\0ns\attempt_009.csv,0,0.5231025402213163,0.5231025402213163,1998.4933399111987,1999.01644245142,2.0,1,11000,1000,5000,2026-08-08T22:33:25.055968+00:00
10,10,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_2_fire_to_qswitch_swapped_adapters\raw\0ns\attempt_010.csv,0,0.5637890941250134,0.5637890941250134,1998.5757052389176,1999.1394943330426,2.0,1,11000,1000,5000,2026-08-08T22:33:25.157765+00:00
