attempt,accepted_index,status,reason,raw_path,programmed_delay_ns,measured_separation_ns,residual_ns,reference_edge_time_ns,target_edge_time_ns,sample_interval_ns,timebase,total_samples,pre_trigger_samples,threshold_adc,captured_utc
1,1,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\1000000ns\attempt_001.csv,1000000,1000066.0150213572,66.01502135721967,7994.55269574641,1008060.5677171036,8.0,3,129000,1000,5000,2026-08-08T23:52:44.265470+00:00
2,2,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\1000000ns\attempt_002.csv,1000000,1000060.8472596087,60.84725960867945,7994.512247205125,1008055.3595068138,8.0,3,129000,1000,5000,2026-08-08T23:52:44.703157+00:00
3,3,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\1000000ns\attempt_003.csv,1000000,1000066.7003901047,66.70039010467008,7995.542958370239,1008062.243348475,8.0,3,129000,1000,5000,2026-08-08T23:52:45.079295+00:00
4,4,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\1000000ns\attempt_004.csv,1000000,1000062.0425890712,62.04258907120675,7994.45636446588,1008056.4989535371,8.0,3,129000,1000,5000,2026-08-08T23:52:45.483111+00:00
5,5,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\1000000ns\attempt_005.csv,1000000,1000066.5808891177,66.58088911767118,7994.558853633572,1008061.1397427513,8.0,3,129000,1000,5000,2026-08-08T23:52:45.899800+00:00
6,6,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\1000000ns\attempt_006.csv,1000000,1000061.0843047,61.084304700023495,7993.648756524409,1008054.7330612245,8.0,3,129000,1000,5000,2026-08-08T23:52:46.289684+00:00
7,7,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\1000000ns\attempt_007.csv,1000000,1000060.5740609136,60.574060913641006,7994.3055265901985,1008054.8795875038,8.0,3,129000,1000,5000,2026-08-08T23:52:46.695467+00:00
8,8,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\1000000ns\attempt_008.csv,1000000,1000060.6508397547,60.65083975472953,7994.082221469692,1008054.7330612245,8.0,3,129000,1000,5000,2026-08-08T23:52:47.114525+00:00
9,9,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\1000000ns\attempt_009.csv,1000000,1000067.0870175931,67.08701759309042,7995.070545789514,1008062.1575633826,8.0,3,129000,1000,5000,2026-08-08T23:52:47.497910+00:00
10,10,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\1000000ns\attempt_010.csv,1000000,1000064.1198939631,64.11989396309946,7994.712147380541,1008058.8320413437,8.0,3,129000,1000,5000,2026-08-08T23:52:47.891125+00:00
11,11,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\1000000ns\attempt_011.csv,1000000,1000060.8250336123,60.825033612316474,7994.3670393166685,1008055.192072929,8.0,3,129000,1000,5000,2026-08-08T23:52:48.322356+00:00
12,12,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\1000000ns\attempt_012.csv,1000000,1000066.7756079071,66.77560790709686,7995.42587037542,1008062.2014782826,8.0,3,129000,1000,5000,2026-08-08T23:52:48.691173+00:00
13,13,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\1000000ns\attempt_013.csv,1000000,1000062.5978991,62.59789910004474,7994.45636446588,1008057.0542635659,8.0,3,129000,1000,5000,2026-08-08T23:52:49.093815+00:00
14,14,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\1000000ns\attempt_014.csv,1000000,1000060.8250336123,60.825033612316474,7994.3670393166685,1008055.192072929,8.0,3,129000,1000,5000,2026-08-08T23:52:49.510254+00:00
15,15,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\1000000ns\attempt_015.csv,1000000,1000060.9924674971,60.9924674971262,7994.3670393166685,1008055.3595068138,8.0,3,129000,1000,5000,2026-08-08T23:52:49.905920+00:00
16,16,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\setup_3_extref_to_qswitch\raw\1000000ns\attempt_016.csv,1000000,1000065.1515499632,65.15154996316414,7994.712147380541,1008059.8636973437,8.0,3,129000,1000,5000,2026-08-08T23:52:50.286175+00:00
