attempt,accepted_index,status,reason,raw_path,programmed_delay_ns,measured_separation_ns,residual_ns,reference_edge_time_ns,target_edge_time_ns,sample_interval_ns,timebase,total_samples,pre_trigger_samples,threshold_adc,captured_utc
1,1,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\1000000ns\attempt_001.csv,1000000,1000007.9756422559,7.9756422558566555,7994.603661485319,1008002.5793037412,8.0,3,129000,1000,5000,2026-07-30T19:50:56.778560+00:00
2,2,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\1000000ns\attempt_002.csv,1000000,1000008.2122644245,8.212264424539171,7994.3670393166685,1008002.5793037412,8.0,3,129000,1000,5000,2026-07-30T19:50:57.095878+00:00
3,3,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\1000000ns\attempt_003.csv,1000000,1000008.2235437804,8.223543780390173,7994.512247205125,1008002.7357909855,8.0,3,129000,1000,5000,2026-07-30T19:50:57.410021+00:00
4,4,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\1000000ns\attempt_004.csv,1000000,1000007.8276513761,7.82765137613751,7994.70929287456,1008002.5369442507,8.0,3,129000,1000,5000,2026-07-30T19:50:57.734010+00:00
5,5,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\1000000ns\attempt_005.csv,1000000,1000008.0757830823,8.075783082284033,7994.503520658961,1008002.5793037412,8.0,3,129000,1000,5000,2026-07-30T19:50:58.068659+00:00
6,6,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\1000000ns\attempt_006.csv,1000000,1000008.3586053915,8.358605391462334,7994.32469775475,1008002.6833031462,8.0,3,129000,1000,5000,2026-07-30T19:50:58.393800+00:00
7,7,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\1000000ns\attempt_007.csv,1000000,1000003.1319619062,3.131961906212382,7999.658605974396,1008002.7905678806,8.0,3,129000,1000,5000,2026-07-30T19:50:58.718932+00:00
8,8,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\1000000ns\attempt_008.csv,1000000,1000007.2151494318,7.215149431838654,7994.221691892231,1008001.4368413241,8.0,3,129000,1000,5000,2026-07-30T19:50:59.032267+00:00
9,9,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\1000000ns\attempt_009.csv,1000000,1000008.0242278137,8.024227813701145,7994.32469775475,1008002.3489255684,8.0,3,129000,1000,5000,2026-07-30T19:50:59.354253+00:00
10,10,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\1000000ns\attempt_010.csv,1000000,1000001.9507454756,1.9507454755948856,7993.925223516662,1007995.8759689922,8.0,3,129000,1000,5000,2026-07-30T19:50:59.686100+00:00
11,11,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\1000000ns\attempt_011.csv,1000000,1000007.9880702219,7.9880702218506485,7994.503520658961,1008002.4915908808,8.0,3,129000,1000,5000,2026-07-30T19:51:00.022856+00:00
12,12,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\1000000ns\attempt_012.csv,1000000,1000001.8927659466,1.8927659465698525,7993.140524415136,1007995.0332903618,8.0,3,129000,1000,5000,2026-07-30T19:51:00.343086+00:00
13,13,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\1000000ns\attempt_013.csv,1000000,1000005.5302460922,5.530246092239395,7994.221691892231,1007999.7519379845,8.0,3,129000,1000,5000,2026-07-30T19:51:00.699037+00:00
14,14,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\1000000ns\attempt_014.csv,1000000,1000008.0807912934,8.080791293410584,7994.3670393166685,1008002.4478306101,8.0,3,129000,1000,5000,2026-07-30T19:51:01.021257+00:00
15,15,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\1000000ns\attempt_015.csv,1000000,1000008.2683306191,8.268330619088374,7994.467460366418,1008002.7357909855,8.0,3,129000,1000,5000,2026-07-30T19:51:01.353001+00:00
16,16,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\1000000ns\attempt_016.csv,1000000,1000007.922412659,7.9224126590415835,7994.656891082129,1008002.5793037412,8.0,3,129000,1000,5000,2026-07-30T19:51:01.719154+00:00
17,17,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\1000000ns\attempt_017.csv,1000000,1000007.9783483769,7.978348376927897,7994.503520658961,1008002.4818690359,8.0,3,129000,1000,5000,2026-07-30T19:51:02.068648+00:00
18,18,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\1000000ns\attempt_018.csv,1000000,1000007.9381278967,7.938127896748483,7994.410797671592,1008002.3489255684,8.0,3,129000,1000,5000,2026-07-30T19:51:02.395532+00:00
19,19,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\1000000ns\attempt_019.csv,1000000,1000007.7043907612,7.704390761209652,7994.32469775475,1008002.0290885159,8.0,3,129000,1000,5000,2026-07-30T19:51:02.742016+00:00
20,20,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\1000000ns\attempt_020.csv,1000000,1000007.9382652605,7.938265260541812,7994.467460366418,1008002.405725627,8.0,3,129000,1000,5000,2026-07-30T19:51:03.118689+00:00
21,21,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\1000000ns\attempt_021.csv,1000000,1000007.9757270565,7.975727056502365,7994.656891082129,1008002.6326181387,8.0,3,129000,1000,5000,2026-07-30T19:51:03.439621+00:00
22,22,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\1000000ns\attempt_022.csv,1000000,1000007.9381278967,7.938127896748483,7994.410797671592,1008002.3489255684,8.0,3,129000,1000,5000,2026-07-30T19:51:03.754116+00:00
23,23,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_3_extref_to_t6601_replacement\raw\1000000ns\attempt_023.csv,1000000,1000008.1685060696,8.168506069574505,7994.410797671592,1008002.5793037412,8.0,3,129000,1000,5000,2026-07-30T19:51:04.071783+00:00
