"path","bytes","status","error"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\Phase Scan\2026-09-02\20260902T224505_939642Z_background\partial\scan_0000000_attempt_00.npz","873","DELETED",""
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\slow_scan_once\acquisition_20260902T230429_400991Z\hf2li_native.npz","16198057","DELETED",""
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\slow_scan_once\acquisition_20260902T230429_400991Z\picoscope_ch_a_adc.npy","437510964","DELETED",""
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\slow_scan_once\acquisition_20260902T230429_400991Z\picoscope_ch_b_adc.npy","437510964","DELETED",""
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\slow_scan_once\acquisition_20260902T230659_436853Z\hf2li_native.npz","15888435","DELETED",""
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\slow_scan_once\acquisition_20260902T230659_436853Z\picoscope_ch_a_adc.npy","437510964","DELETED",""
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\slow_scan_once\acquisition_20260902T230659_436853Z\picoscope_ch_b_adc.npy","437510964","DELETED",""
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\slow_scan_once\acquisition_20260902T231231_332187Z\hf2li_native.npz","15754536","DELETED",""
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\slow_scan_once\acquisition_20260902T231231_332187Z\picoscope_ch_a_adc.npy","437510964","DELETED",""
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\slow_scan_once\acquisition_20260902T231231_332187Z\picoscope_ch_b_adc.npy","437510964","DELETED",""
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\slow_scan_once\acquisition_20260902T231923_573556Z\hf2li_native.npz","15849171","DELETED",""
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\slow_scan_once\acquisition_20260902T231923_573556Z\picoscope_ch_a_adc.npy","437510964","DELETED",""
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\slow_scan_once\acquisition_20260902T231923_573556Z\picoscope_ch_b_adc.npy","437510964","DELETED",""
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\slow_scan_once\acquisition_20260902T232846_841583Z\hf2li_native.npz","14936814","DELETED",""
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\slow_scan_once\acquisition_20260902T232846_841583Z\picoscope_ch_a_adc.npy","437510964","DELETED",""
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\slow_scan_once\acquisition_20260902T232846_841583Z\picoscope_ch_b_adc.npy","437510964","DELETED",""
