path,bytes,reason,source
campaigns/instrument_readiness_001/phases/HF-01/__pycache__/analyze_dual_demod_validation.cpython-312.pyc,57540,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/HF-01/__pycache__/analyze_model_validation.cpython-312.pyc,28423,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/HF-01/__pycache__/analyze_reference_detuning.cpython-312.pyc,6722,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/HF-01/__pycache__/analyze_reference_refinement.cpython-312.pyc,3164,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/HF-01/__pycache__/analyze_selected_confirmations.cpython-312.pyc,14240,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/HF-01/__pycache__/analyze_supported_configurations.cpython-312.pyc,19203,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/HF-01/__pycache__/apply_pre_timing_wiring_safe_state.cpython-312.pyc,4377,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/HF-01/__pycache__/audit_closeout.cpython-312.pyc,9995,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/HF-01/__pycache__/build_closeout_indexes.cpython-312.pyc,40679,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/HF-01/__pycache__/diagnose_hf2_master_clock.cpython-312.pyc,10168,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/HF-01/__pycache__/diagnose_pll_analog_reference.cpython-312.pyc,12567,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/HF-01/__pycache__/diagnose_pll_matrix.cpython-312.pyc,12440,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/HF-01/__pycache__/diagnose_pll_reference.cpython-312.pyc,11123,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/HF-01/__pycache__/diagnose_t660_2mhz_reference.cpython-312.pyc,9313,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/HF-01/__pycache__/diagnose_timeconstant_map.cpython-312.pyc,9757,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/HF-01/__pycache__/diagnose_timeconstant_write.cpython-312.pyc,9860,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/HF-01/__pycache__/map_supported_parameter_space.cpython-312.pyc,14771,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/HF-01/__pycache__/recover_clock_distribution.cpython-312.pyc,9450,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/HF-01/__pycache__/refresh_artifact_index.cpython-312.pyc,6908,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/HF-01/__pycache__/run_10hz_timing_check.cpython-312.pyc,21807,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/HF-01/__pycache__/run_anchor_acquisition.cpython-312.pyc,33225,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/HF-01/__pycache__/run_dual_demod_anchor_acquisition.cpython-312.pyc,41251,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/HF-01/__pycache__/run_first_awg_enable.cpython-312.pyc,18462,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/HF-01/__pycache__/run_preflight.cpython-312.pyc,19946,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/HF-01/__pycache__/verify_amendment_stop_safe_state.cpython-312.pyc,6849,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/HF-01/__pycache__/verify_final_restoration_state.cpython-312.pyc,8851,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/HF-01/__pycache__/verify_pre_restoration_safe_state.cpython-312.pyc,6992,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/HF-01/__pycache__/verify_selected_config_reload.cpython-312.pyc,12674,Regenerable Python bytecode cache,Source .py files retained
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_fast_r1_001_hf2_raw.csv,199432677,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_fast_r1_001_offset_1_pico.csv,78184,HF-01 rejected setup/export/reference failure; accepted replacements retained,campaigns/instrument_readiness_001/phases/HF-01/exclusions.csv
