"path","bytes","status","error"
"campaigns/instrument_readiness_001/phases/HF-01/__pycache__/analyze_dual_demod_validation.cpython-312.pyc","57540","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/__pycache__/analyze_model_validation.cpython-312.pyc","28423","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/__pycache__/analyze_reference_detuning.cpython-312.pyc","6722","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/__pycache__/analyze_reference_refinement.cpython-312.pyc","3164","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/__pycache__/analyze_selected_confirmations.cpython-312.pyc","14240","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/__pycache__/analyze_supported_configurations.cpython-312.pyc","19203","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/__pycache__/apply_pre_timing_wiring_safe_state.cpython-312.pyc","4377","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/__pycache__/audit_closeout.cpython-312.pyc","9995","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/__pycache__/build_closeout_indexes.cpython-312.pyc","40679","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/__pycache__/diagnose_hf2_master_clock.cpython-312.pyc","10168","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/__pycache__/diagnose_pll_analog_reference.cpython-312.pyc","12567","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/__pycache__/diagnose_pll_matrix.cpython-312.pyc","12440","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/__pycache__/diagnose_pll_reference.cpython-312.pyc","11123","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/__pycache__/diagnose_t660_2mhz_reference.cpython-312.pyc","9313","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/__pycache__/diagnose_timeconstant_map.cpython-312.pyc","9757","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/__pycache__/diagnose_timeconstant_write.cpython-312.pyc","9860","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/__pycache__/map_supported_parameter_space.cpython-312.pyc","14771","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/__pycache__/recover_clock_distribution.cpython-312.pyc","9450","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/__pycache__/refresh_artifact_index.cpython-312.pyc","6908","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/__pycache__/run_10hz_timing_check.cpython-312.pyc","21807","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/__pycache__/run_anchor_acquisition.cpython-312.pyc","33225","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/__pycache__/run_dual_demod_anchor_acquisition.cpython-312.pyc","41251","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/__pycache__/run_first_awg_enable.cpython-312.pyc","18462","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/__pycache__/run_preflight.cpython-312.pyc","19946","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/__pycache__/verify_amendment_stop_safe_state.cpython-312.pyc","6849","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/__pycache__/verify_final_restoration_state.cpython-312.pyc","8851","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/__pycache__/verify_pre_restoration_safe_state.cpython-312.pyc","6992","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/__pycache__/verify_selected_config_reload.cpython-312.pyc","12674","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_fast_r1_001_hf2_raw.csv","199432677","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_fast_r1_001_offset_1_pico.csv","78184","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_fast_r1_001_offset_2_pico.csv","78176","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_fast_r1_001_offset_3_pico.csv","78196","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_fast_r1_001_step_fall_1_pico.csv","76161","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_fast_r1_001_step_fall_2_pico.csv","76119","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_fast_r1_001_step_fall_3_pico.csv","76079","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_fast_r1_001_step_rise_1_pico.csv","78293","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_fast_r1_001_step_rise_2_pico.csv","78240","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_fast_r1_001_step_rise_3_pico.csv","78393","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_fast_r1_001_zero_baseline_pico.csv","76227","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_intermediate_001_hf2_raw.csv","1247613","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_intermediate_001_offset_1_pico.csv","78214","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_intermediate_001_offset_2_pico.csv","78285","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_intermediate_001_offset_3_pico.csv","78210","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_intermediate_001_offset_4_pico.csv","78211","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_intermediate_001_step_fall_1_pico.csv","76141","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_intermediate_001_step_fall_2_pico.csv","75988","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_intermediate_001_step_fall_3_pico.csv","76068","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_intermediate_001_step_rise_1_pico.csv","78410","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_intermediate_001_step_rise_2_pico.csv","78377","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_intermediate_001_step_rise_3_pico.csv","78206","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_intermediate_001_zero_baseline_pico.csv","76018","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_slow_001_hf2_raw.csv","97069","DELETED",""
"campaigns/instrument_readiness_001/phases/HF-01/raw/hf01_anchor_slow_001_offset_1_pico.csv","77286","DELETED",""
