review_id,path,remaining_bytes,reason,decision
R001,evidence/experiments/runs/authorized_mbco_phase_reconstruction_20260904T002152_3132654Z,871401328,Thesis inclusion of retained operational measurements is not established; preserve source data until reviewed.,RAW_DELETED_USER_APPROVED; DERIVED_OUTPUTS_RETAINED
R002,evidence/experiments/runs/hf2_deferred_capacity_20260907,6228079,Thesis inclusion of retained operational measurements is not established; preserve source data until reviewed.,RAW_DELETED_USER_APPROVED; DOCUMENTATION_RETAINED
R003,evidence/experiments/runs/exploratory_air_checkout_20260902T224505_935642Z,12056697,Thesis inclusion of retained operational measurements is not established; preserve source data until reviewed.,RAW_DELETED_USER_APPROVED; ANALYSIS_AND_DOCUMENTATION_RETAINED
R004,evidence/experiments/runs/direct_air_reset_explicit_on_three_modes_20260903T025720_147056Z,12445822,Thesis inclusion of retained operational measurements is not established; preserve source data until reviewed.,RAW_DELETED_USER_APPROVED; ANALYSIS_AND_DOCUMENTATION_RETAINED
R005,evidence/experiments/runs/direct_air_1000ma_three_modes_20260903T024905_977175Z,12198554,Thesis inclusion of retained operational measurements is not established; preserve source data until reviewed.,RAW_DELETED_USER_APPROVED; ANALYSIS_AND_DOCUMENTATION_RETAINED
R006,evidence/experiments/runs/authorized_consecutive_air_pair_20260903T230900_5823500Z,16800104,Thesis inclusion of retained operational measurements is not established; preserve source data until reviewed.,RAW_DELETED_USER_APPROVED; ANALYSIS_AND_DOCUMENTATION_RETAINED
R007,evidence/experiments/runs/20260707_day8_timing_pump_fire_to_q_switch_db9_pins_retry2,1329362032,Thesis inclusion of retained operational measurements is not established; preserve source data until reviewed.,KEEP_RAW_USER_CONFIRMED
R008,evidence/experiments/runs/authorized_preliminary_mbco_100cm_2cmps_repeat_20260903T234012_8651278Z,1166716633,Thesis inclusion of retained operational measurements is not established; preserve source data until reviewed.,KEEP_FOR_NOW_USER_CONFIRMED
R009,evidence/experiments/runs/single_detector_ftir_20260906T203723_580408Z,1110154093,Thesis inclusion of retained operational measurements is not established; preserve source data until reviewed.,KEEP_ENTIRE_PACKAGE_USER_CONFIRMED
R010,evidence/experiments/runs/air_scan_post_alignment_repeat_20260903T214445_6204197Z,6445215,Thesis inclusion of retained operational measurements is not established; preserve source data until reviewed.,RAW_DELETED_USER_APPROVED; ANALYSIS_AND_DOCUMENTATION_RETAINED
R011,evidence/experiments/runs/air_scan_detector_orientation_retest_20260903T214018_1110992Z,6321139,Thesis inclusion of retained operational measurements is not established; preserve source data until reviewed.,RAW_DELETED_USER_APPROVED; ANALYSIS_AND_DOCUMENTATION_RETAINED
R012,evidence/experiments/runs/authorized_air_scan_after_detector_recovery_20260903T213002_3743882Z,5910893,Thesis inclusion of retained operational measurements is not established; preserve source data until reviewed.,RAW_DELETED_USER_APPROVED; ANALYSIS_AND_DOCUMENTATION_RETAINED
R013,evidence/experiments/runs/mircat_sweep_20260903T003520_142287Z,897849514,Thesis inclusion of retained operational measurements is not established; preserve source data until reviewed.,PENDING
R014,evidence/experiments/runs/mircat_sweep_20260903T020532_909748Z,897606881,Thesis inclusion of retained operational measurements is not established; preserve source data until reviewed.,PENDING
R015,evidence/experiments/runs/mircat_sweep_20260903T003041_531945Z,897495150,Thesis inclusion of retained operational measurements is not established; preserve source data until reviewed.,PENDING
R016,evidence/experiments/runs/mircat_sweep_20260903T023336_016356Z,897457840,Thesis inclusion of retained operational measurements is not established; preserve source data until reviewed.,PENDING
R017,evidence/experiments/runs/direct_air_external_pulse_tec_settle_20260903T024327_956949Z,896332056,Thesis inclusion of retained operational measurements is not established; preserve source data until reviewed.,PENDING
R018,evidence/experiments/runs/direct_air_after_powercycle_20260903T023954_119062Z,896316612,Thesis inclusion of retained operational measurements is not established; preserve source data until reviewed.,PENDING
R019,evidence/experiments/runs/direct_air_repeat_20260903T023625_729904Z,896211107,Thesis inclusion of retained operational measurements is not established; preserve source data until reviewed.,PENDING
R020,evidence/experiments/runs/hf2_1842k_verification_20260907,580092503,Thesis inclusion of retained operational measurements is not established; preserve source data until reviewed.,PENDING
R021,evidence/experiments/runs/authorized_preliminary_mbco_100cm_scan_20260903T232625_9651341Z,231824243,Thesis inclusion of retained operational measurements is not established; preserve source data until reviewed.,PENDING
R022,evidence/experiments/runs/single_rearm_ordered_ddg_qualification_20260904T021008_3633770Z,80486249,Thesis inclusion of retained operational measurements is not established; preserve source data until reviewed.,PENDING
